Participant,Age,TrialN,StimID,StimType,C1.RT,C2.RT,C3.RT,C4.RT,SPILL.RT,CHUNK1,CHUNK2,CHUNK3,CHUNK4,SPILL,CompAcc,Condition,RestrictorType,RestrictorPosition,MENRestr,MAXRestr,MENRestrType,MAXRestrType,Context,ContextRT,LOOK_SEEM,CompRT,has_comp
19,29,82,36,exp,384.1,332.2,349.1,397.5,414,Every,place,in the brochure,"seemed awesome,",so I booked straightaway.,0,INT-MAX,MAX,INT,in Los Angeles,in the brochure,city,brochure,I was flicking through a holiday brochure to find awesome places to visit in Los Angeles and other cities.,1929.1000000000001,seemed,NA,NQ
19,29,83,110,fill,350.6,334.2,418,484.09999999999997,500.8,I got to see,the most romantic,sunsets,"in Colombia,",so it was a lovely time.,1,FILL,FILL,FILL,in Colombia,in Cartagena,city,country,"I've just returned from a short vacation in Cartagena. I was really shocked. Apparently,",2548.5,NA,2459.7000000000003,1
19,29,84,97,fill,446,431,497.5,449.6,533.4,I visited,the most historical,monument,"in Austria,",so it was a lovely time.,0,FILL,FILL,FILL,in Austria,in Salzburg,city,country,"I'm just back from a week-long trip in Salzburg. I'm really pleased! Allegedly,",1343.3999999999999,NA,NA,NQ
19,29,85,63,fill,415.3,431.90000000000003,497.3,495.5,564.9,I ate,the most expensive,pizza,"in Rome,",so I made some nice memories.,0,FILL,FILL,FILL,in Rome,in Italy,country,city,"I got home yesterday from a lovely two-week stay in Italy. You won't believe it! According to locals,",1775.6000000000001,NA,NA,NQ
19,29,86,3,exp,434.5,367.5,434.3,467.3,633.9,Every,restaurant,looked fancy,"in Italy,",so I booked straightaway.,0,EXT-MEN,MEN,EXT,in Italy,in the vlog,country,vlog,I was watching a vlog for inspiration for fancy restaurants to try out in Italy and other countries.,1915.2,looked,NA,NQ
19,29,87,61,fill,417.7,417.5,433.90000000000003,500.8,550.3,I climbed,the tallest,building,"in New York,",so I'm glad I went.,0,FILL,FILL,FILL,in New York,in the US,country,city,"I'm just back from a well-earned break in the US. I'm really pleased! Allegedly,",1399.5,NA,NA,NQ
19,29,88,116,fill,449.29999999999995,565.2,514.5,548.4,706.7,I was lucky enough to try,the finest,wine,"in Portugal,",so I'm glad I went.,0,FILL,FILL,FILL,in Portugal,in Madeira,city,country,"I've just returned from a well-earned break in Madeira. I was really shocked. According to my friends,",1861.6,NA,NA,NQ
19,29,89,74,fill,663.9000000000001,454.29999999999995,481.5,532.4,582.4,I tasted,the most unique,beer,"in Melbourne,",so it was a lovely time.,0,FILL,FILL,FILL,in Melbourne,in Australia,country,city,"I've just returned from a great holiday in Australia. I was really shocked. Apparently,",1558.6,NA,NA,NQ
19,29,90,94,fill,465.6,513.9,531.6999999999999,581,617.1999999999999,I paraglided over,the most beautiful,spot,"in Germany,",so it was a lovely time.,1,FILL,FILL,FILL,in Germany,in Frankfurt,city,country,"I'm just back from a great holiday in Frankfurt. I'm really pleased! Apparently,",1564,NA,2048.2,1
19,29,91,30,exp,438.2,431.59999999999997,448.40000000000003,451.6,602.9,Every,square,seemed busy,"in the blog,",so I didn't know what to do.,0,EXT-MAX,MAX,EXT,in Florence,in the blog,city,blog,I was reading a blog to get some ideas for busy squares to explore in Florence and other cities.,1741.9,seemed,NA,NQ
19,29,92,103,fill,437.5,413.5,414.3,415.3,481.2,I bought,the most fashionable,jacket,"in Russia,",so it was a lovely time.,1,FILL,FILL,FILL,in Russia,in St. Petersburg,city,country,"I'm just back from a lovely two-week stay in St. Petersburg. I'm really pleased! According to locals,",2375.6,NA,2038.4000000000003,1
19,29,93,40,exp,385.90000000000003,354,364.70000000000005,402,547.5,Every,garden,in the blog,"seemed colourful,",so there was plenty of choice.,0,INT-MAX,MAX,INT,in Zagreb,in the blog,city,blog,I was reading a blog to get some ideas for colourful gardens to explore in Zagreb and other cities.,2591.5,seemed,NA,NQ
19,29,94,107,fill,370.09999999999997,336.3,401.8,415.9,480.2,I enjoyed,the cheapest,vegan food,"in India,",so I made some nice memories.,0,FILL,FILL,FILL,in India,in Delhi,city,country,"I've just returned from a week-long trip in Delhi. I was really shocked. According to locals,",2076.6,NA,NA,NQ
19,29,95,4,exp,370.09999999999997,332.2,354.5,394.8,481.4,Every,park,on the app,"seemed nice,",so I booked straightaway.,1,INT-MAX,MAX,INT,in Newcastle,on the app,city,app,I was on a travel app researching nice parks to enjoy in Newcastle and other cities.,1692.8000000000002,seemed,1531.3000000000002,1
19,29,96,43,exp,352,287.1,338,350.7,413.1,Every,delicacy,looked tasty,"in Venezuela,",so I had some deciding to do.,0,EXT-MEN,MEN,EXT,in Venezuela,in the vlog,country,vlog,I was watching a vlog for inspiration for tasty delicacies to try out in Venezuela and other countries.,2476.1000000000004,looked,NA,NQ
19,29,97,26,exp,334.2,332.5,296.8,381.6,431.59999999999997,Every,bar,seemed lively,"in the brochure,",so I didn't know what to do.,0,EXT-MAX,MAX,EXT,in Prague,in the brochure,city,brochure,I was flicking through a holiday brochure to find lively bars to visit in Prague and other cities.,1991.6000000000001,seemed,NA,NQ
19,29,98,10,exp,400.6,280.9,348.9,332.3,381.1,Every,canal,seemed lovely,"in the blog,",so there was plenty of choice.,0,EXT-MAX,MAX,EXT,in Gloucester,in the blog,city,blog,I was reading a blog to get some ideas for lovely canals to explore in Gloucester and other cities.,2380,seemed,NA,NQ
19,29,99,2,exp,351.3,264.7,330.79999999999995,331.4,369,Every,hostel,seemed quirky,"on the website,",so I booked straightaway.,1,EXT-MAX,MAX,EXT,in London,on the website,city,website,I was on a website trying to find quirky hostels to stay at in London and other cities.,1847.3,seemed,3785.1,1
19,29,100,33,exp,350.2,249.79999999999998,316.59999999999997,298.4,387.79999999999995,Every,zoo,in Thailand,"looked responsible,",so I booked straightaway.,0,INT-MEN,MEN,INT,in Thailand,in the vlog,country,vlog,I was watching a vlog for inspiration for responsible zoos to try out in Thailand and other countries.,2257.6,looked,NA,NQ
