Participant,Age,TrialN,StimID,C1.RT,C2.RT,C3.RT,C4.RT,SPILL.RT,CHUNK1,CHUNK2,CHUNK3,CHUNK4,SPILL,CompAcc,RestrictorType,Context,ContextRT,LOOK_SEEM,CompRT,has_comp,C1.PRED,C2.PRED,C3.PRED,C4.PRED,SPILL.PRED,C1.PRED.LOG,C2.PRED.LOG,C3.PRED.LOG,C4.PRED.LOG,SPILL.PRED.LOG,InfoCount,C1.RT.LOG,C2.RT.LOG,C3.RT.LOG,C4.RT.LOG,SPILL.RT.LOG,C1.RT.RESID,C2.RT.RESID,C3.RT.RESID,C4.RT.RESID,SPILL.RT.RESID,C1.RT.LOG.RESID,C2.RT.LOG.RESID,C3.RT.LOG.RESID,C4.RT.LOG.RESID,SPILL.RT.LOG.RESID,Condition,PP.RT,PP.LOG,VP.RT,VP.LOG,PP.PRED,PP.PRED.LOG,VP.PRED,VP.PRED.LOG,PP.RESID,PP.RESID.LOG,VP.RESID,VP.RESID.LOG,SPILL.RESID,SPILL.RESID.LOG
29,31,1,31,457.3,302.3,367.1,NA,150.9,Every,bridge,"looked amazing,",NA,so I booked straightaway.,1,NIL,I was flicking through a holiday brochure to find amazing bridges to visit in Argentina and other countries.,3175.1,looked,1458,1,354.77417595459224,273.8301207430342,281.0704809081525,NA,434.7025263157896,5.820614059013396,5.536596661649215,5.544708749628165,NA,6.0374540483510275,1,6.125339630664009,5.711419901785413,5.905634290502789,NA,5.016617365773803,102.52582404540777,28.46987925696584,86.02951909184753,NA,-283.8025263157896,0.3047255716506134,0.174823240136198,0.36092554087462414,NA,-1.0208366825772242,NIL,NA,NA,367.1,5.905634290502789,NA,NA,281.0704809081525,5.544708749628165,NA,NA,86.02951909184753,0.36092554087462414,-283.8025263157896,-1.0208366825772242
29,31,3,37,443.3,235.8,223.1,NA,520.9,Every,villa,"looked stunning,",NA,so there was plenty of choice.,1,NIL,I was on a website trying to find stunning villas to stay at in Egypt and other countries.,2028,looked,822.9,1,354.77417595459224,273.8301207430342,281.0704809081525,NA,463.8819071207431,5.820614059013396,5.536596661649215,5.544708749628165,NA,6.09306147217744,1,6.094246741751008,5.462983988103271,5.407620101438487,NA,6.255558084751145,88.52582404540777,-38.03012074303416,-57.970480908152496,NA,57.01809287925687,0.2736326827376123,-0.07361267354594414,-0.13708864818967825,NA,0.1624966125737055,NIL,NA,NA,223.1,5.407620101438487,NA,NA,281.0704809081525,5.544708749628165,NA,NA,-57.970480908152496,-0.13708864818967825,57.01809287925687,0.1624966125737055
29,31,4,42,439.9,367.3,223.5,314.5,550.8,Every,barge,in Krakow,"seemed spacious,",so there was plenty of choice.,1,SUB,I was on a website trying to find spacious barges to stay at in Krakow and other cities.,2066.3999999999996,seemed,888.9,1,354.77417595459224,273.8301207430342,281.0704809081525,300.0941924664602,463.8819071207431,5.820614059013396,5.536596661649215,5.544708749628165,5.653500827269343,6.09306147217744,2,6.086547428354674,5.906178952825622,5.409411414053624,5.750984076140496,6.311371766854499,85.12582404540774,93.46987925696584,-57.57048090815249,14.405807533539814,86.91809287925685,0.265933369341278,0.36958229117640684,-0.13529733557454104,0.09748324887115256,0.21831029467705942,SUB,223.5,5.409411414053624,314.5,5.750984076140496,281.0704809081525,5.544708749628165,300.0941924664602,5.653500827269343,-57.57048090815249,-0.13529733557454104,14.405807533539814,0.09748324887115256,86.91809287925685,0.21831029467705942
29,31,5,29,495.3,194.8,274.2,282.9,534.5,Every,shop,on the app,"looked trendy,",so I didn't know what to do.,1,MAX,I was on a travel app researching trendy shops to enjoy in Hungary and other countries.,2691.5,looked,1119.6,1,354.77417595459224,273.8301207430342,295.66017131062915,300.0941924664602,493.0612879256966,5.820614059013396,5.536596661649215,5.572512461541371,5.653500827269343,6.148668896003852,1,6.2051636395941925,5.2719733912084346,5.613857767128214,5.645093478307522,6.2813317304651,140.52582404540777,-79.03012074303416,-21.460171310629164,-17.19419246646021,41.438712074303396,0.3845495805807966,-0.26462327044078027,0.041345305586842684,-0.00840734896182127,0.1326628344612475,MAX,274.2,5.613857767128214,282.9,5.645093478307522,295.66017131062915,5.572512461541371,300.0941924664602,5.653500827269343,-21.460171310629164,0.041345305586842684,-17.19419246646021,-0.00840734896182127,41.438712074303396,0.1326628344612475
29,31,9,27,600.4000000000001,244.8,332.7,282.6,517,Every,cabin,in Poland,"looked peaceful,",so I didn't know what to do.,1,SUB,I was on a website trying to find peaceful cabins to stay at in Poland and other countries.,2753.4,looked,750.6,1,354.77417595459224,273.8301207430342,281.0704809081525,300.0941924664602,493.0612879256966,5.820614059013396,5.536596661649215,5.544708749628165,5.653500827269343,6.148668896003852,3,6.397596099759307,5.500441550638171,5.807241183024431,5.644032470250427,6.248042874508429,245.62582404540785,-29.03012074303416,51.6295190918475,-17.494192466460163,23.938712074303396,0.5769820407459108,-0.03615511101104385,0.26253243339626575,-0.009468357018915796,0.09937397850457685,SUB,332.7,5.807241183024431,282.6,5.644032470250427,281.0704809081525,5.544708749628165,300.0941924664602,5.653500827269343,51.6295190918475,0.26253243339626575,-17.494192466460163,-0.009468357018915796,23.938712074303396,0.09937397850457685
29,31,11,23,490.9,317.59999999999997,350.2,426.2000000000001,483.6,Every,cruise,in the vlog,"looked idyllic,",so I knew just where to go.,1,MAX,I was watching a vlog for inspiration for idyllic cruises to try out in Finland and other countries.,3027.6,looked,796.6,1,354.77417595459224,273.8301207430342,295.66017131062915,300.0941924664602,478.4715975232198,5.820614059013396,5.536596661649215,5.572512461541371,5.653500827269343,6.120865184090646,1,6.196240441064007,5.76079272937298,5.8585044198517515,6.054908719664517,6.1812581187406375,136.12582404540774,43.769879256965794,54.539828689370836,126.10580753353992,5.128402476780195,0.37562638205061116,0.22419606772376532,0.2859919583103805,0.4014078923951736,0.0603929346499914,MAX,350.2,5.8585044198517515,426.2000000000001,6.054908719664517,295.66017131062915,5.572512461541371,300.0941924664602,5.653500827269343,54.539828689370836,0.2859919583103805,126.10580753353992,0.4014078923951736,5.128402476780195,0.0603929346499914
29,31,12,41,350.1,197.6,172.2,196.7,566.5,Every,waterfall,in the brochure,"looked gorgeous,",so there was plenty of choice.,1,MAX,I was flicking through a holiday brochure to find gorgeous waterfalls to visit in Slovakia and other countries.,2146.3,looked,1502.5,1,354.77417595459224,273.8301207430342,295.66017131062915,300.0941924664602,463.8819071207431,5.820614059013396,5.536596661649215,5.572512461541371,5.653500827269343,6.09306147217744,2,5.85821882796062,5.286244785313768,5.14865659199363,5.281679725395013,6.339477080468061,-4.674175954592215,-76.23012074303418,-123.46017131062916,-103.3941924664602,102.61809287925689,0.03760476894722409,-0.2503518763354471,-0.423855869547741,-0.37182110187433004,0.24641560829062126,MAX,172.2,5.14865659199363,196.7,5.281679725395013,295.66017131062915,5.572512461541371,300.0941924664602,5.653500827269343,-123.46017131062916,-0.423855869547741,-103.3941924664602,-0.37182110187433004,102.61809287925689,0.24641560829062126
29,31,13,12,267.5,208.7,251.4,189.9,227.6,Every,B&B,in Cardiff,"seemed cheap,",so there was plenty of choice.,1,SUB,I was on a website trying to find cheap B&Bs to stay at in Cardiff and other cities.,2248.5,seemed,2084.7000000000003,1,354.77417595459224,288.41981114551095,281.0704809081525,300.0941924664602,463.8819071207431,5.820614059013396,5.564400373562421,5.544708749628165,5.653500827269343,6.09306147217744,4,5.589119566336061,5.340897814083155,5.527045296156147,5.24649761781824,5.427589702252176,-87.27417595459224,-79.71981114551096,-29.670480908152484,-110.19419246646018,-236.2819071207431,-0.23149449267733502,-0.22350255947926634,-0.01766345347201792,-0.40700320945110313,-0.6654717699252641,SUB,251.4,5.527045296156147,189.9,5.24649761781824,281.0704809081525,5.544708749628165,300.0941924664602,5.653500827269343,-29.670480908152484,-0.01766345347201792,-110.19419246646018,-0.40700320945110313,-236.2819071207431,-0.6654717699252641
29,31,15,30,258,157.70000000000002,167.7,158.29999999999998,157.79999999999998,Every,square,in Florence,"seemed busy,",so I didn't know what to do.,1,SUB,I was reading a blog to get some ideas for busy squares to explore in Florence and other cities.,2841.8,seemed,1673.1,1,354.77417595459224,273.8301207430342,281.0704809081525,300.0941924664602,493.0612879256966,5.820614059013396,5.536596661649215,5.544708749628165,5.653500827269343,6.148668896003852,1,5.552959584921617,5.060694493968993,5.122176668829163,5.064491966886966,5.061328408411773,-96.77417595459224,-116.13012074303415,-113.3704809081525,-141.7941924664602,-335.2612879256966,-0.26765447409177856,-0.4759021676802222,-0.4225320807990016,-0.5890088603823767,-1.087340487592079,SUB,167.7,5.122176668829163,158.29999999999998,5.064491966886966,281.0704809081525,5.544708749628165,300.0941924664602,5.653500827269343,-113.3704809081525,-0.4225320807990016,-141.7941924664602,-0.5890088603823767,-335.2612879256966,-1.087340487592079
29,31,16,26,316.90000000000003,162.5,217.4,172.4,600.5,Every,bar,in the brochure,"seemed lively,",so I didn't know what to do.,1,MAX,I was flicking through a holiday brochure to find lively bars to visit in Prague and other cities.,1883.1,seemed,1857.4,1,354.77417595459224,273.8301207430342,295.66017131062915,300.0941924664602,493.0612879256966,5.820614059013396,5.536596661649215,5.572512461541371,5.653500827269343,6.148668896003852,3,5.7585862666968755,5.090678001769792,5.381738974687109,5.149817358229593,6.397762641520038,-37.874175954592204,-111.33012074303417,-78.26017131062915,-127.69419246646018,107.4387120743034,-0.06202779231652045,-0.4459186598794229,-0.19077348685426188,-0.5036834690397498,0.2490937455161859,MAX,217.4,5.381738974687109,172.4,5.149817358229593,295.66017131062915,5.572512461541371,300.0941924664602,5.653500827269343,-78.26017131062915,-0.19077348685426188,-127.69419246646018,-0.5036834690397498,107.4387120743034,0.2490937455161859
