Participant,Age,AgeOfMachine,TrialN,StimID,StimType,C1.RT,C2.RT,C3.RT,C4.RT,SPILL.RT,CHUNK1,CHUNK2,CHUNK3,CHUNK4,SPILL,Browser,CompAcc,RestrictorType,MENRestr,MAXRestr,MENRestrType,MAXRestrType,Context,ContextRT,SubNP,RestrPP,LOOK_SEEM,CompRT,has_comp
12,30,NA,48,117,fill,381,835.7,304.70000000000005,395.1,427,I went to a gig by,the most famous,band,"in Ireland,",so I made some nice memories.,Chrome,1,FILL,in Ireland,in Galway,city,country,"I got home yesterday from a week-long trip in Galway. You won't believe it! Allegedly,",1896.3000000000002,the most famous,NA,NA,944.6,1
12,30,NA,49,64,fill,378.8,306.90000000000003,285.1,320.40000000000003,298.59999999999997,I stayed at,the most luxurious,hotel,"in Berlin,",so I really enjoyed it.,Chrome,1,FILL,in Berlin,in Germany,country,city,"I'm just back from a great holiday in Germany. I'm really pleased! According to my friends,",1354,the most luxurious,NA,NA,838,1
12,30,NA,50,103,fill,373.90000000000003,262.6,307.40000000000003,334.3,415.1,I bought,the most fashionable,jacket,"in Russia,",so it was a lovely time.,Chrome,1,FILL,in Russia,in St. Petersburg,city,country,"I'm just back from a lovely two-week stay in St. Petersburg. I'm really pleased! According to locals,",1108.3,the most fashionable,NA,NA,1262.3999999999999,1
12,30,NA,51,119,fill,428.59999999999997,402.1,346.3,385.5,451.5,I got to enjoy,the most remote,hot spring,"in Hungary,",so it was a lovely time.,Chrome,0,FILL,in Hungary,in Debrecen,city,country,"I've just returned from a great holiday in Debrecen. I was really shocked. According to locals,",1713.7,the most remote,NA,NA,4981.9000000000005,1
12,30,NA,52,82,fill,1278.8999999999999,410.8,513.5999999999999,859.9,456.8,I swam in,the largest,swimming pool,"in Tokyo,",so I made some nice memories.,Chrome,1,FILL,in Tokyo,in Japan,country,city,"I'm just back from a week-long trip in Japan. I'm really pleased! Apparently,",3901.5,the largest,NA,NA,1903,1
12,30,NA,53,104,fill,646,369.7,467.5,367.9,631,I got a room at,the fanciest,boutique hotel,"in Australia,",so I made some nice memories.,Chrome,1,FILL,in Australia,in Perth,city,country,"I've just returned from a great holiday in Perth. I was really shocked. According to my friends,",2217.4,the fanciest,NA,NA,1548.2,1
12,30,NA,54,67,fill,402.5,560.8,402,401,455.2,I saw,the best views,views,"in Vienna,",so I really enjoyed it.,Chrome,1,FILL,in Vienna,in Austria,country,city,"I'm just back from a week-long trip in Austria. I'm really pleased! According to locals,",1470.3,the best views,NA,NA,1075.7,1
12,30,NA,55,35,exp,335.6,271.4,348.8,269,272.7,Every,palace,in Sweden,"looked opulent,",so I booked straightaway.,Chrome,1,MEN,in Sweden,in the blog,country,blog,I was reading a blog to get some ideas for opulent palaces to explore in Sweden and other countries.,2791.7999999999997,palace,in Sweden,looked,781.2,1
12,30,NA,56,50,exp,352.9,282.1,319.40000000000003,272.5,284.4,Every,temple,in Sydney,"seemed fantastic,",so I knew just where to go.,Chrome,1,MEN,in Sydney,in the blog,city,blog,I was reading a blog to get some ideas for fantastic temples to explore in Sydney and other cities.,2637.1000000000004,temple,in Sydney,seemed,910,1
12,30,NA,57,4,exp,321.79999999999995,236.4,284.3,277.6,467.7,Every,park,on the app,"seemed nice,",so I booked straightaway.,Chrome,1,MAX,in Newcastle,on the app,city,app,I was on a travel app researching nice parks to enjoy in Newcastle and other cities.,2153.4,park,on the app,seemed,542.6,1
12,30,NA,58,16,exp,299.70000000000005,256.40000000000003,253.7,321.79999999999995,1172.1,Every,gallery,in the brochure,"seemed high-end,",so I had some deciding to do.,Chrome,1,MAX,in Venice,in the brochure,city,brochure,I was flicking through a holiday brochure to find high-end galleries to visit in Venice and other cities.,3430.8,gallery,in the brochure,seemed,2429.1,1
12,30,NA,59,100,fill,437.5,346.8,436.59999999999997,720.6,443.6,I arrived during,the best,time for skiing,"in Finland,",so I'm glad I went.,Chrome,1,FILL,in Finland,in Lapland,city,country,"I'm just back from a short vacation in Lapland. I'm really pleased! According to my friends,",1889.7,the best,NA,NA,1088.9,1
12,30,NA,60,89,fill,402.1,410.7,438.8,613.6,676.6999999999999,I had,the finest,seafood,"in Budapest,",so I really enjoyed it.,Chrome,1,FILL,in Budapest,in Hungary,country,city,"I've just returned from a great holiday in Hungary. I was really shocked. Allegedly,",1396.3000000000002,the finest,NA,NA,1440,1
12,30,NA,61,91,fill,780.5,660.1,688.8,813.3000000000001,595,I got to try,the most delicious,spaghetti,"in the US,",so I made some nice memories.,Chrome,1,FILL,in the US,in Chicago,city,country,"I'm just back from a well-earned break in Chicago. I'm really pleased! According to locals,",2189.1,the most delicious,NA,NA,970.8,1
12,30,NA,62,53,exp,451.90000000000003,529.8000000000001,347.4,452.90000000000003,673.6,Every,rollercoaster,in Belgium,"looked thrilling,",so I knew just where to go.,Chrome,1,MEN,in Belgium,in the vlog,country,vlog,I was watching a vlog for inspiration for thrilling rollercoasters to try out in Belgium and other countries.,3707.3999999999996,rollercoaster,in Belgium,looked,709.0999999999999,1
12,30,NA,63,102,fill,626.8000000000001,592.9,591.7,663.2,556,I got to taste,the most authentic,gelato,"in Canada,",so I really enjoyed it.,Chrome,1,FILL,in Canada,in Ottawa,city,country,"I got home yesterday from a week-long trip in Ottawa. You won't believe it! Apparently,",1520.6,the most authentic,NA,NA,972.9,1
12,30,NA,64,72,fill,558.1,591.1999999999999,846.6,691,598.6,I tried,the spiciest,noodles you can find,"in Vancouver,",so I made some nice memories.,Chrome,1,FILL,in Vancouver,in Canada,country,city,"I got home yesterday from a week-long trip in Canada. You won't believe it! According to my friends,",1949.1000000000001,the spiciest,NA,NA,984.1999999999999,1
12,30,NA,65,120,fill,802,488.5,1356.2,829,571.4,I took,the most indirect,train journey,"in South Africa,",so I made some nice memories.,Chrome,1,FILL,in South Africa,in Cape Town,city,country,"I got home yesterday from a short vacation in Cape Town. You won't believe it! According to my friends,",1637,the most indirect,NA,NA,914.8,1
12,30,NA,66,96,fill,638,594.1999999999999,633.4,470.8,754.9,I drank at,the trendiest,bar,"in Belgium,",so I really enjoyed it.,Chrome,1,FILL,in Belgium,in Bruges,city,country,"I got home yesterday from a well-earned break in Bruges. You won't believe it! According to my friends,",1589.8000000000002,the trendiest,NA,NA,987.6,1
12,30,NA,67,2,exp,341.7,344,320.90000000000003,301.09999999999997,509.49999999999994,Every,hostel,in London,"seemed quirky,",so I booked straightaway.,Chrome,1,MEN,in London,on the website,city,website,I was on a website trying to find quirky hostels to stay at in London and other cities.,2074.3999999999996,hostel,in London,seemed,1096.5,1
12,30,NA,68,97,fill,498.09999999999997,557.9,462.4,570.9,522.3,I visited,the most historical,monument,"in Austria,",so it was a lovely time.,Chrome,1,FILL,in Austria,in Salzburg,city,country,"I'm just back from a week-long trip in Salzburg. I'm really pleased! Allegedly,",1003.8000000000001,the most historical,NA,NA,876.4,1
12,30,NA,69,42,exp,323.7,309.40000000000003,272.7,NA,307.2,Every,barge,"seemed spacious,",NA,so there was plenty of choice.,Chrome,1,NIL,in Krakow,on the website,city,website,I was on a website trying to find spacious barges to stay at in Krakow and other cities.,2088.1,barge,NIL,seemed,928.1,1
12,30,NA,70,118,fill,839.0999999999999,396.8,460.2,545.3,458.2,I walked along,the straightest,canal path,"in Wales,",so I really enjoyed it.,Chrome,1,FILL,in Wales,in Bangor,city,country,"I'm just back from a lovely two-week stay in Bangor. I'm really pleased! Apparently,",2201.8,the straightest,NA,NA,663.4,1
12,30,NA,71,76,fill,453.29999999999995,425.59999999999997,702.8,545.6999999999999,554.9,I visited,the smallest,coffee shop,"in São Paulo,",so I really enjoyed it.,Chrome,1,FILL,in São Paulo,in Brazil,country,city,"I'm just back from a well-earned break in Brazil. I'm really pleased! According to my friends,",1956,the smallest,NA,NA,861.5,1
12,30,NA,72,79,fill,441.5,374.90000000000003,358,423,518.3,I tried,the best,ice-cream,"in Athens,",so I made some nice memories.,Chrome,1,FILL,in Athens,in Greece,country,city,"I'm just back from a great holiday in Greece. I'm really pleased! According to locals,",1369.3,the best,NA,NA,807.5,1
12,30,NA,73,15,exp,419.9,369.90000000000003,498.09999999999997,NA,662.4,Every,town,"looked pretty,",NA,so I had some deciding to do.,Chrome,1,NIL,in Peru,in the blog,country,blog,I was reading a blog to get some ideas for pretty towns to explore in Peru and other countries.,3005.3999999999996,town,NIL,looked,668,1
12,30,NA,74,60,exp,416.4,325,311.40000000000003,NA,514.5,Every,neighbourhood,"seemed bustling,",NA,so I didn't know what to do.,Chrome,1,NIL,in Tokyo,in the blog,city,blog,I was reading a blog to get some ideas for bustling neighbourhoods to explore in Tokyo and other cities.,2357.1,neighbourhood,NIL,seemed,883.9,1
12,30,NA,75,45,exp,343.8,314.8,318.2,NA,454.79999999999995,Every,lighthouse,"looked magnificent,",NA,so I had some deciding to do.,Chrome,1,NIL,in Mexico,in the blog,country,blog,I was reading a blog to get some ideas for magnificent lighthouses to explore in Mexico and other countries.,2952.3,lighthouse,NIL,looked,763.7,1
12,30,NA,76,36,exp,368.5,252,367.59999999999997,NA,430.09999999999997,Every,place,"seemed awesome,",NA,so I booked straightaway.,Chrome,1,NIL,in Los Angeles,in the brochure,city,brochure,I was flicking through a holiday brochure to find awesome places to visit in Los Angeles and other cities.,3043.8,place,NIL,seemed,524.5999999999999,1
12,30,NA,77,95,fill,403.1,347.4,427.59999999999997,386,497,I went to,the very first,pub,"in England,",so I made some nice memories.,Chrome,1,FILL,in England,in Lancaster,city,country,"I've just returned from a short vacation in Lancaster. I was really shocked. According to locals,",1221.5,the very first,NA,NA,572.6999999999999,1
