Participant,Age,TrialN,StimID,C1.RT,C2.RT,C3.RT,C4.RT,SPILL.RT,CHUNK1,CHUNK2,CHUNK3,CHUNK4,SPILL,CompAcc,Condition,RestrictorType,RestrictorPosition,Context,ContextRT,LOOK_SEEM,CompRT,has_comp,C1.PRED,C2.PRED,C3.PRED,C4.PRED,SPILL.PRED,C1.PRED.LOG,C2.PRED.LOG,C3.PRED.LOG,C4.PRED.LOG,SPILL.PRED.LOG,InfoCount,C1.RT.LOG,C2.RT.LOG,C3.RT.LOG,C4.RT.LOG,SPILL.RT.LOG,C1.RT.RESID,C2.RT.RESID,C3.RT.RESID,C4.RT.RESID,SPILL.RT.RESID,C1.RT.LOG.RESID,C2.RT.LOG.RESID,C3.RT.LOG.RESID,C4.RT.LOG.RESID,SPILL.RT.LOG.RESID,PP.RT,PP.LOG,VP.RT,VP.LOG,PP.PRED,PP.PRED.LOG,VP.PRED,VP.PRED.LOG,PP.RESID,PP.RESID.LOG,VP.RESID,VP.RESID.LOG,SPILL.RESID,SPILL.RESID.LOG
30,NA,2,1,801.2,353.5,394.6,655.5,807.1,Every,beach,looked beautiful,"in Spain,",so I booked straightaway.,1,EXT-SUB,SUB,EXT,I was flicking through a holiday brochure to find beautiful beaches to visit in Spain and other countries.,3685.8,looked,1942.6,1,559.0149929979167,495.4665220138676,458.90422584281094,477.70749342487227,580.2452490009222,6.269401058272873,6.155790392645969,6.082827269744333,6.147535478522273,6.306336797536121,1,6.686110603791663,5.867883485336628,5.977872593588515,6.4853983032037545,6.6934475763303265,242.18500700208335,-141.96652201386757,-64.30422584281092,177.79250657512773,226.85475099907785,0.41670954551879014,-0.287906907309341,-0.10495467615581777,0.33786282468148165,0.38711077879420586,655.5,6.4853983032037545,394.6,5.977872593588515,477.70749342487227,6.147535478522273,458.90422584281094,6.082827269744333,177.79250657512773,0.33786282468148165,-64.30422584281092,-0.10495467615581777,226.85475099907785,0.38711077879420586
30,NA,4,19,842.5,317.59999999999997,329.79999999999995,403.1,527.9000000000001,Every,hike,in China,"looked scenic,",so I knew just where to go.,0,INT-SUB,SUB,INT,I was on a travel app researching scenic hikes to enjoy in China and other countries.,3556.9,looked,NA,NQ,559.0149929979167,495.4665220138676,458.90422584281094,477.70749342487227,584.6330448816469,6.269401058272873,6.155790392645969,6.082827269744333,6.147535478522273,6.2981719978601145,1,6.736373662226517,5.76079272937298,5.7984864101254985,5.99918467012312,6.268906871829571,283.4850070020833,-177.8665220138676,-129.104225842811,-74.60749342487225,-56.73304488164683,0.4669726039536437,-0.3949976632729886,-0.28434085961883415,-0.1483508083991527,-0.029265126030543875,329.79999999999995,5.7984864101254985,403.1,5.99918467012312,458.90422584281094,6.082827269744333,477.70749342487227,6.147535478522273,-129.104225842811,-0.28434085961883415,-74.60749342487225,-0.1483508083991527,-56.73304488164683,-0.029265126030543875
30,NA,6,35,694.2,383.9,400.9,409.4,368.1,Every,palace,in Sweden,"looked opulent,",so I booked straightaway.,0,INT-SUB,SUB,INT,I was reading a blog to get some ideas for opulent palaces to explore in Sweden and other countries.,4398.7,looked,NA,NQ,559.0149929979167,495.4665220138676,458.90422584281094,477.70749342487227,580.2452490009222,6.269401058272873,6.155790392645969,6.082827269744333,6.147535478522273,6.306336797536121,1,6.542760103427686,5.950382102006752,5.993712019648461,6.014692673227189,5.908354640384975,135.18500700208335,-111.5665220138676,-58.00422584281097,-68.30749342487229,-212.14524900092215,0.27335904515481335,-0.20540829063921695,-0.08911525009587162,-0.13284280529508408,-0.39798215715114527,400.9,5.993712019648461,409.4,6.014692673227189,458.90422584281094,6.082827269744333,477.70749342487227,6.147535478522273,-58.00422584281097,-0.08911525009587162,-68.30749342487229,-0.13284280529508408,-212.14524900092215,-0.39798215715114527
30,NA,7,44,368.9,362.4,701.0999999999999,458.5,560.5,Every,sight,seemed picture-perfect,"on the app,",so I had some deciding to do.,0,EXT-MAX,MAX,EXT,I was on a travel app researching picture-perfect sights to enjoy in Cairo and other cities.,3641.9,seemed,NA,NQ,559.0149929979167,495.4665220138676,460.36682446971923,479.17009205178056,584.6330448816469,6.269401058272873,6.155790392645969,6.08010566985233,6.14481387863027,6.2981719978601145,2,5.91052560460263,5.892748574168825,6.552650530212921,6.127960291696519,6.328829242512215,-190.11499299791672,-133.0665220138676,240.73317553028068,-20.670092051780557,-24.133044881646924,-0.358875453670243,-0.26304181847714414,0.47254486036059173,-0.01685358693375072,0.03065724465210007,458.5,6.127960291696519,701.0999999999999,6.552650530212921,479.17009205178056,6.14481387863027,460.36682446971923,6.08010566985233,-20.670092051780557,-0.01685358693375072,240.73317553028068,0.47254486036059173,-24.133044881646924,0.03065724465210007
30,NA,9,26,617.4,611.7,522.5,555.1,1417.9,Every,bar,in the brochure,"seemed lively,",so I didn't know what to do.,0,INT-MAX,MAX,INT,I was flicking through a holiday brochure to find lively bars to visit in Prague and other cities.,3127.2000000000003,seemed,NA,NQ,559.0149929979167,495.4665220138676,460.36682446971923,477.70749342487227,586.0956435085552,6.269401058272873,6.155790392645969,6.08010566985233,6.147535478522273,6.295450397968112,2,6.425517112068059,6.416241966248519,6.258624983838966,6.319148277696116,7.256932182743513,58.385007002083285,116.23347798613247,62.133175530280766,77.39250657512775,831.8043564914449,0.156116053795186,0.2604515736025501,0.17851931398663634,0.1716127991738432,0.9614817847754011,522.5,6.258624983838966,555.1,6.319148277696116,460.36682446971923,6.08010566985233,477.70749342487227,6.147535478522273,62.133175530280766,0.17851931398663634,77.39250657512775,0.1716127991738432,831.8043564914449,0.9614817847754011
30,NA,13,14,556.9,417.4,378,484.3,469.4,Every,tour,on the app,"seemed relaxing,",so I had some deciding to do.,1,INT-MAX,MAX,INT,I was on a travel app researching relaxing tours to enjoy in Budapest and other cities.,3877.3,seemed,2205.8,1,559.0149929979167,495.4665220138676,460.36682446971923,477.70749342487227,584.6330448816469,6.269401058272873,6.155790392645969,6.08010566985233,6.147535478522273,6.2981719978601145,3,6.322385690595623,6.0340449946431,5.934894195619588,6.182704549409183,6.151455283416923,-2.1149929979167155,-78.0665220138676,-82.36682446971923,6.592506575127743,-115.23304488164695,0.05298463232275008,-0.12174539800286865,-0.14521147423274172,0.03516907088691035,-0.14671671444319134,378,5.934894195619588,484.3,6.182704549409183,460.36682446971923,6.08010566985233,477.70749342487227,6.147535478522273,-82.36682446971923,-0.14521147423274172,6.592506575127743,0.03516907088691035,-115.23304488164695,-0.14671671444319134
30,NA,15,24,393.8,342.6,427.1,143,238.1,Every,getaway,seemed romantic,"on the app,",so I knew just where to go.,0,EXT-MAX,MAX,EXT,I was on a travel app researching romantic getaways to enjoy in Amsterdam and other cities.,2616.8999999999996,seemed,NA,NQ,559.0149929979167,495.4665220138676,458.90422584281094,479.17009205178056,584.6330448816469,6.269401058272873,6.155790392645969,6.082827269744333,6.14481387863027,6.2981719978601145,4,5.975843166205025,5.83656358589002,6.057018177847421,4.962844630259907,5.472690753492817,-165.21499299791668,-152.86652201386755,-31.804225842810922,-336.17009205178056,-346.5330448816469,-0.2935578920678479,-0.3192268067559487,-0.02580909189691205,-1.181969248370363,-0.8254812443672979,143,4.962844630259907,427.1,6.057018177847421,479.17009205178056,6.14481387863027,458.90422584281094,6.082827269744333,-336.17009205178056,-1.181969248370363,-31.804225842810922,-0.02580909189691205,-346.5330448816469,-0.8254812443672979
30,NA,17,9,377.6,358.59999999999997,351.3,408.6,500.9,Every,view,looked breathtaking,"in Japan,",so there was plenty of choice.,0,EXT-SUB,SUB,EXT,I was on a travel app researching breathtaking views to enjoy in Japan and other countries.,2825.5,looked,NA,NQ,559.0149929979167,495.4665220138676,458.90422584281094,477.70749342487227,583.1704462547386,6.269401058272873,6.155790392645969,6.082827269744333,6.147535478522273,6.3008935977521165,5,5.933835434271345,5.8822075611710325,5.861640559271781,6.0127366823835215,6.216406480363571,-181.41499299791667,-136.8665220138676,-107.60422584281093,-69.10749342487225,-82.27044625473866,-0.3355656240015277,-0.27358283147493623,-0.22118671047255134,-0.13479879613875134,-0.08448711738854531,408.6,6.0127366823835215,351.3,5.861640559271781,477.70749342487227,6.147535478522273,458.90422584281094,6.082827269744333,-69.10749342487225,-0.13479879613875134,-107.60422584281093,-0.22118671047255134,-82.27044625473866,-0.08448711738854531
30,NA,19,51,325.29999999999995,356.3,377.2,367.4,625.4,Every,brewery,in Canada,"looked exclusive,",so I knew just where to go.,0,INT-SUB,SUB,INT,I was flicking through a holiday brochure to find exclusive breweries to visit in Canada and other countries.,2116.8999999999996,looked,NA,NQ,559.0149929979167,495.4665220138676,458.90422584281094,477.70749342487227,584.6330448816469,6.269401058272873,6.155790392645969,6.082827269744333,6.147535478522273,6.2981719978601145,3,5.784747833479305,5.87577307261179,5.9327755507593025,5.906451172781026,6.438391445023741,-233.71499299791674,-139.16652201386756,-81.70422584281096,-110.30749342487229,40.76695511835305,-0.48465322479356754,-0.2800173200341787,-0.1500517189850301,-0.24108430574124728,0.14021944716362622,377.2,5.9327755507593025,367.4,5.906451172781026,458.90422584281094,6.082827269744333,477.70749342487227,6.147535478522273,-81.70422584281096,-0.1500517189850301,-110.30749342487229,-0.24108430574124728,40.76695511835305,0.14021944716362622
30,NA,22,33,1972.5,667.5,562.3000000000001,556.4,1152.9,Every,zoo,looked responsible,"in Thailand,",so I booked straightaway.,0,EXT-SUB,SUB,EXT,I was watching a vlog for inspiration for responsible zoos to try out in Thailand and other countries.,7324.6,looked,NA,NQ,559.0149929979167,495.4665220138676,458.90422584281094,477.70749342487227,580.2452490009222,6.269401058272873,6.155790392645969,6.082827269744333,6.147535478522273,6.306336797536121,1,7.587057052720029,6.503539390274405,6.3320355152981564,6.321487460049288,7.050035786238908,1413.4850070020834,172.03347798613243,103.39577415718912,78.69250657512771,572.6547509990779,1.317655994447156,0.34774899762843603,0.24920824555382382,0.17395198152701496,0.7436989887027874,556.4,6.321487460049288,562.3000000000001,6.3320355152981564,477.70749342487227,6.147535478522273,458.90422584281094,6.082827269744333,78.69250657512771,0.17395198152701496,103.39577415718912,0.24920824555382382,572.6547509990779,0.7436989887027874
