Participant,Age,TrialN,StimID,StimType,C1.RT,C2.RT,C3.RT,C4.RT,SPILL.RT,CHUNK1,CHUNK2,CHUNK3,CHUNK4,SPILL,CompAcc,Condition,RestrictorType,RestrictorPosition,Context,ContextRT,LOOK_SEEM,Adj,CompRT,has_comp
37,35,1,3,exp,368,217,208,182,238,Every,restaurant,in Scotland,"looked fancy,",so there was plenty of choice.,0,INT-NEM,NEM,INT,I was watching a vlog for inspiration for fancy restaurants to try out in Italy and other countries.,646187,looked,fancy,NA,NQ
37,35,2,43,exp,177,147,199,161,291,Every,delicacy,in Mexico,"looked tasty,",so there was plenty of choice.,0,INT-NEM,NEM,INT,I was flicking through a holiday brochure to find tasty delicacies to try out in Venezuela and other countries.,5135,looked,tasty,NA,NQ
37,35,3,85,fill,200,168,170,276,181,I went up,the newest,skyscraper,"in Istanbul,",so I made some nice memories.,0,FILL,FILL,FILL,"I'm just back from a short vacation in Turkey. I'm really pleased! Allegedly,",2508,NA,NA,NA,NQ
37,35,4,57,exp,179,159,197,135,520,Every,farm,looked eco-friendly,"in Thailand,",so I booked straightaway.,0,EXT-NEM,NEM,EXT,I was watching a vlog for inspiration for eco-friendly farms to stay at in Greece and other countries.,4767,looked,eco-friendly,NA,NQ
37,35,5,83,fill,212,166,212,185,648,I rode,the biggest,rollercoaster,"in Malaga,",so I really enjoyed it.,1,FILL,FILL,FILL,"I've just returned from a lovely two-week stay in Spain. I was really shocked. According to locals,",6344,NA,NA,2305,1
37,35,6,71,fill,214,196,187,550,226,I was staying in,the most modern,appartment block,"in Shanghai,",so it was a lovely time.,1,FILL,FILL,FILL,"I've just returned from a well-earned break in China. I was really shocked. According to locals,",17923,NA,NA,1809,1
37,35,7,88,fill,186,141,209,164,190,I got to stay in,the least well-known,area,"in Swansea,",so I made some nice memories.,0,FILL,FILL,FILL,"I'm just back from a lovely two-week stay in Wales. I'm really pleased! According to my friends,",3344,NA,NA,NA,NQ
37,35,8,116,fill,240,319,255,383,694,I was lucky enough to try,the finest,wine,"in Portugal,",so I'm glad I went.,0,FILL,FILL,FILL,"I've just returned from a well-earned break in Madeira. I was really shocked. According to my friends,",1165519,NA,NA,NA,NQ
37,35,9,26,exp,246,289,190,138,321,Every,bar,in Prague,"seemed lively,",so I decided to go there.,0,INT-EM,EM,INT,I was on a website trying to find lively bars to visit in Prague and other cities.,2872,seemed,lively,NA,NQ
37,35,10,29,exp,179,172,134,169,226,Every,shop,looked trendy,"in Argentina,",so I had some deciding to do.,0,EXT-NEM,NEM,EXT,I was reading a blog to get some ideas for trendy shops to enjoy in Hungary and other countries.,2588,looked,trendy,NA,NQ
37,35,11,22,exp,179,188,169,152,132,Every,cottage,in Durham,"seemed charming,",so I booked straightaway.,1,INT-EM,EM,INT,I was on a travel app researching charming cottages to stay at in Durham and other cities.,2438,seemed,charming,2361,1
37,35,12,7,exp,187,173,164,236,237,Every,museum,in Japan,"looked cool,",so I booked straightaway.,0,INT-NEM,NEM,INT,I was flicking through a holiday brochure to find cool museums to visit in Portugal and other countries.,3803,looked,cool,NA,NQ
37,35,13,77,fill,177,176,194,194,200,I sunbathed,the longest,beach,"in Mumbai,",so I'm glad I went.,0,FILL,FILL,FILL,"I've just returned from a week-long trip in India. I was really shocked. Allegedly,",3372,NA,NA,NA,NQ
37,35,14,37,exp,202,185,147,188,205,Every,villa,looked stunning,"in Australia,",so I booked straightaway.,0,EXT-NEM,NEM,EXT,I was flicking through a holiday brochure to find stunning villas to stay at in Egypt and other countries.,3057,looked,stunning,NA,NQ
37,35,15,23,exp,239,273,156,224,143,Every,cruise,in Norway,"looked idyllic,",so there was plenty of choice.,0,INT-NEM,NEM,INT,I was reading a blog to get some ideas for idyllic cruises to try out in Finland and other countries.,3086,looked,idyllic,NA,NQ
37,35,16,69,fill,210,161,158,162,274,I was able to take photos of,the rarest,bird,"in Aberdeen,",so I made some nice memories.,0,FILL,FILL,FILL,"I got home yesterday from a great holiday in Scotland. You won't believe it! Allegedly,",2219,NA,NA,NA,NQ
37,35,17,56,exp,184,138,220,260,201,Every,statue,seemed famous,"in New York,",so I decided to go there.,0,EXT-EM,EM,EXT,I was on a website trying to find famous statues to visit in New York and other cities.,2126,seemed,famous,NA,NQ
37,35,18,70,fill,317,178,181,180,194,I ate at,the poshest,restaurant,"in Helsinki,",so I really enjoyed it.,0,FILL,FILL,FILL,"I'm just back from a short vacation in Finland. I'm really pleased! Apparently,",1601,NA,NA,NA,NQ
37,35,19,28,exp,167,147,189,212,184,Every,eatery,seemed funky,"in Warsaw,",so there was plenty of choice.,1,EXT-EM,EM,EXT,I was on a travel app researching funky eateries to try out in Warsaw and other cities.,1776,seemed,funky,5506,1
37,35,20,16,exp,200,207,162,183,222,Every,gallery,seemed high-end,"in Venice,",so I decided to go there.,1,EXT-EM,EM,EXT,I was on a travel app researching high-end galleries to visit in Venice and other cities.,16305,seemed,high-end,1482,1
37,35,21,82,fill,156,122,347,224,114,I swam in,the largest,swimming pool,"in Tokyo,",so I made some nice memories.,1,FILL,FILL,FILL,"I'm just back from a week-long trip in Japan. I'm really pleased! Apparently,",2880,NA,NA,2019.0000000000002,1
37,35,22,54,exp,233,156,73,185,280,Every,walk,in Barcelona,"seemed easy,",so I had some deciding to do.,0,INT-EM,EM,INT,I was checking out a guidebook to find suggestions for easy walks to enjoy in Barcelona and other cities.,3286,seemed,easy,NA,NQ
37,35,23,32,exp,225,156,79,253,203,Every,apartment,seemed wonderful,"in Madrid,",so I booked straightaway.,1,EXT-EM,EM,EXT,I was on a website trying to find wonderful apartments to stay at in Madrid and other cities.,2326,seemed,wonderful,1397,1
37,35,24,93,fill,202,140,299,166,179,I took,the highest,helicopter ride,"in Italy,",so I'm glad I went.,0,FILL,FILL,FILL,"I got home yesterday from a lovely two-week stay in Milan. You won't believe it! Allegedly,",2570,NA,NA,NA,NQ
37,35,25,119,fill,223,142,136,157,258,I got to enjoy,the most remote,hot spring,"in Hungary,",so it was a lovely time.,0,FILL,FILL,FILL,"I've just returned from a great holiday in Debrecen. I was really shocked. According to locals,",2169,NA,NA,NA,NQ
37,35,26,74,fill,207,187,115,415,401,I tasted,the most unique,beer,"in Melbourne,",so it was a lovely time.,0,FILL,FILL,FILL,"I've just returned from a great holiday in Australia. I was really shocked. Apparently,",2210,NA,NA,NA,NQ
37,35,27,106,fill,199,252,169,176,185,I did,the most difficult,trek,"in Brazil,",so it was a lovely time.,0,FILL,FILL,FILL,"I'm just back from a well-earned break in Rio de Janeiro. I'm really pleased! Apparently,",2750,NA,NA,NA,NQ
37,35,28,18,exp,173,183,182,138,155,Every,café,in Glasgow,"seemed cute,",so there was plenty of choice.,0,INT-EM,EM,INT,I was checking out a guidebook to find suggestions for cute cafés to try out in Glasgow and other cities.,3479,seemed,cute,NA,NQ
37,35,29,95,fill,137,143,146,113,238,I went to,the very first,pub,"in England,",so I made some nice memories.,0,FILL,FILL,FILL,"I've just returned from a short vacation in Lancaster. I was really shocked. According to locals,",4231,NA,NA,NA,NQ
37,35,30,84,fill,228,130,218,98,142,I stayed at,the cleanest,hostel,"in Marrakesh,",so I'm glad I went.,0,FILL,FILL,FILL,"I got home yesterday from a great holiday in Morrocco. You won't believe it! According to my friends,",2136,NA,NA,NA,NQ
37,35,31,46,exp,188,163,159,138,442,Every,theatre,in Berlin,"seemed historic,",so I decided to go there.,0,INT-EM,EM,INT,I was on a travel app researching historic theatres to visit in Berlin and other cities.,1618,seemed,historic,NA,NQ
37,35,32,2,exp,180,218,159,164,118,Every,hostel,in London,"seemed quirky,",so I booked straightaway.,1,INT-EM,EM,INT,I was on a website trying to find quirky hostels to stay at in London and other cities.,1865,seemed,quirky,1303,1
37,35,33,120,fill,222,160,148,121,328,I took,the most indirect,train journey,"in South Africa,",so I made some nice memories.,0,FILL,FILL,FILL,"I got home yesterday from a short vacation in Cape Town. You won't believe it! According to my friends,",2221,NA,NA,NA,NQ
37,35,34,24,exp,192,150,175,143,216,Every,getaway,seemed romantic,"in Amsterdam,",so I had some deciding to do.,0,EXT-EM,EM,EXT,I was checking out a guidebook to find suggestions for romantic getaways to enjoy in Amsterdam and other cities.,4977,seemed,romantic,NA,NQ
37,35,35,114,fill,210,100,140,221,169,I bought food from,the oldest,market,"Morocco,",so I made some nice memories.,1,FILL,FILL,FILL,"I got home yesterday from a great holiday in Rabat. You won't believe it! Apparently,",1856,NA,NA,1022.9999999999999,1
37,35,36,58,exp,97,150,352,187,432,Every,bistro,in Leeds,"seemed popular,",so there was plenty of choice.,0,INT-EM,EM,INT,I was on a travel app researching popular bistros to try out in Leeds and other cities.,4581,seemed,popular,NA,NQ
37,35,37,52,exp,191,146,204,123,221,Every,lodge,seemed inexpensive,"in Bangkok,",so I booked straightaway.,0,EXT-EM,EM,EXT,I was on a travel app researching inexpensive lodges to stay at in Bangkok and other cities.,3011,seemed,inexpensive,NA,NQ
37,35,38,30,exp,429,125,154,170,400,Every,square,in Florence,"seemed busy,",so I knew just where to go.,0,INT-EM,EM,INT,I was checking out a guidebook to find suggestions for busy squares to explore in Florence and other cities.,3432,seemed,busy,NA,NQ
37,35,39,20,exp,195,174,133,91,313,Every,church,seemed ornate,"in Belfast,",so I knew just where to go.,1,EXT-EM,EM,EXT,I was on a website trying to find ornate churches to explore in Belfast and other cities.,1815,seemed,ornate,1552,1
37,35,40,89,fill,152,121,75,214,157,I had,the finest,seafood,"in Budapest,",so I really enjoyed it.,0,FILL,FILL,FILL,"I've just returned from a great holiday in Hungary. I was really shocked. Allegedly,",3008,NA,NA,NA,NQ
37,35,41,73,fill,408,181,109,108,152,I got to experience,the heaviest,snow to ever fall,"in Moscow,",so I really enjoyed it.,0,FILL,FILL,FILL,"I'm just back from a lovely two-week stay in Russia. I'm really pleased! Allegedly,",2186,NA,NA,NA,NQ
37,35,42,51,exp,339,116,82,198,169,Every,brewery,in Belgium,"looked exclusive,",so I decided to go there.,0,INT-NEM,NEM,INT,I was watching a vlog for inspiration for exclusive breweries to visit in Canada and other countries.,2993,looked,exclusive,NA,NQ
37,35,43,1,exp,380,428,223,133,110,Every,beach,looked beautiful,"in Italy,",so I decided to go there.,1,EXT-NEM,NEM,EXT,I was flicking through a holiday brochure to find beautiful beaches to visit in Spain and other countries.,3654,looked,beautiful,1953,1
37,35,44,59,exp,1119,182,158,272,135,Every,trek,in Spain,"looked challenging,",so I had some deciding to do.,1,INT-NEM,NEM,INT,I was reading a blog to get some ideas for challenging treks to enjoy in Thailand and other countries.,2157,looked,challenging,1181,1
37,35,45,6,exp,212,201,153,502,448,Every,monument,in Edinburgh,"seemed interesting,",so I decided to go there.,1,INT-EM,EM,INT,I was checking out a guidebook to find suggestions for interesting monuments to visit in Edinburgh and other cities.,2812,seemed,interesting,1098,1
37,35,46,94,fill,257,628,133,184,469,I paraglided over,the most beautiful,spot,"in Germany,",so it was a lovely time.,0,FILL,FILL,FILL,"I'm just back from a great holiday in Frankfurt. I'm really pleased! Apparently,",384,NA,NA,1536,1
37,35,47,117,fill,229,165,360,146,83,I went to a gig by,the most famous,band,"in Ireland,",so I made some nice memories.,0,FILL,FILL,FILL,"I got home yesterday from a week-long trip in Galway. You won't believe it! Allegedly,",2696,NA,NA,NA,NQ
37,35,48,107,fill,170,182,147,120,181,I enjoyed,the cheapest,vegan food,"in India,",so I made some nice memories.,0,FILL,FILL,FILL,"I've just returned from a week-long trip in Delhi. I was really shocked. According to locals,",4895,NA,NA,NA,NQ
37,35,49,38,exp,190,158,154,109,171,Every,pub,in Perth,"seemed cosy,",so there was plenty of choice.,1,INT-EM,EM,INT,I was on a website trying to find cosy pubs to try out in Perth and other cities.,6105,seemed,cosy,1331,1
37,35,50,104,fill,278,95,199,89,255,I got a room at,the fanciest,boutique hotel,"in Australia,",so I made some nice memories.,1,FILL,FILL,FILL,"I've just returned from a great holiday in Perth. I was really shocked. According to my friends,",2453,NA,NA,1006,1
37,35,51,36,exp,411,1095,164,247,211,Every,place,seemed awesome,"in Los Angeles,",so I decided to go there.,0,EXT-EM,EM,EXT,I was checking out a guidebook to find suggestions for awesome places to visit in Los Angeles and other cities.,3276,seemed,awesome,NA,NQ
37,35,52,87,fill,137,164,140,134,89,I sailed down,the widest,river,"in Dublin,",so it was a lovely time.,1,FILL,FILL,FILL,"I got home yesterday from a week-long trip in Ireland. You won't believe it! According to locals,",3271,NA,NA,1404,1
37,35,53,49,exp,149,386,161,181,13,Every,fountain,looked impressive,"in Canada,",so I had some deciding to do.,1,EXT-NEM,NEM,EXT,I was flicking through a holiday brochure to find impressive fountains to enjoy in Turkey and other countries.,3758,looked,impressive,1887,1
37,35,54,53,exp,150,213,173,125,102,Every,rollercoaster,looked thrilling,"in Austria,",so there was plenty of choice.,1,EXT-NEM,NEM,EXT,I was reading a blog to get some ideas for thrilling rollercoasters to try out in Belgium and other countries.,5194,looked,thrilling,2949,1
37,35,55,12,exp,380,88,117,236,289,Every,B&B,seemed cheap,"in Cardiff,",so I booked straightaway.,0,EXT-EM,EM,EXT,I was checking out a guidebook to find suggestions for cheap B&Bs to stay at in Cardiff and other cities.,9753,seemed,cheap,NA,NQ
37,35,56,8,exp,237,247,97,26,25,Every,hotel,seemed luxurious,"in Rome,",so there was plenty of choice.,0,EXT-EM,EM,EXT,I was on a website trying to find luxurious hotels to try out in Rome and other cities.,2259,seemed,luxurious,NA,NQ
37,35,57,33,exp,203,103,21,18,252,Every,zoo,looked responsible,"in Sweden,",so there was plenty of choice.,0,EXT-NEM,NEM,EXT,I was watching a vlog for inspiration for responsible zoos to try out in Thailand and other countries.,3743,looked,responsible,NA,NQ
37,35,58,96,fill,126,217,344,173,44,I drank at,the trendiest,bar,"in Belgium,",so I really enjoyed it.,1,FILL,FILL,FILL,"I got home yesterday from a well-earned break in Bruges. You won't believe it! According to my friends,",2537,NA,NA,840,1
37,35,59,113,fill,541,33,116,274,205,I got to explore,the most convoluted,caves,"in Spain,",so it was a lovely time.,0,FILL,FILL,FILL,"I've just returned from a lovely two-week stay in Tenerife. I was really shocked. Allegedly,",2482,NA,NA,NA,NQ
37,35,60,39,exp,191,23,223,33,51,Every,lake,in Slovakia,"looked pristine,",so I had some deciding to do.,0,INT-NEM,NEM,INT,I was watching a vlog for inspiration for pristine lakes to enjoy in Australia and other countries.,8883,looked,pristine,NA,NQ
37,35,61,100,fill,20,43,60,379,291,I arrived during,the best,time for skiing,"in Finland,",so I'm glad I went.,0,FILL,FILL,FILL,"I'm just back from a short vacation in Lapland. I'm really pleased! According to my friends,",2089,NA,NA,NA,NQ
37,35,62,80,fill,61,250,245,203,166,I got to enjoy,the tastiest,curry,"in Bogotá,",so I really enjoyed it.,0,FILL,FILL,FILL,"I've just returned from a short vacation in Colombia. I was really shocked. According to my friends,",2960,NA,NA,NA,NQ
37,35,63,15,exp,137,242,187,205,248,Every,town,in France,"looked pretty,",so I knew just where to go.,0,INT-NEM,NEM,INT,I was watching a vlog for inspiration for pretty towns to explore in Peru and other countries.,5688,looked,pretty,NA,NQ
37,35,64,31,exp,202,185,133,138,472,Every,bridge,in Thailand,"looked amazing,",so I decided to go there.,0,INT-NEM,NEM,INT,I was flicking through a holiday brochure to find amazing bridges to visit in Argentina and other countries.,2941,looked,amazing,NA,NQ
37,35,65,47,exp,241,245,414,192,440,Every,chalet,in Turkey,"looked pleasant,",so I booked straightaway.,1,INT-NEM,NEM,INT,I was reading a blog to get some ideas for pleasant chalets to stay at in Denmark and other countries.,7245,looked,pleasant,1221,1
37,35,66,4,exp,173,86,283,169,144,Every,park,seemed nice,"in Newcastle,",so I had some deciding to do.,1,EXT-EM,EM,EXT,I was on a travel app researching nice parks to enjoy in Newcastle and other cities.,4211,seemed,nice,1532,1
37,35,67,13,exp,151,167,248,177,155,Every,campsite,looked picturesque,"in Peru,",so there was plenty of choice.,0,EXT-NEM,NEM,EXT,I was flicking through a holiday brochure to find picturesque campsites to try out in Germany and other countries.,4089.0000000000005,looked,picturesque,NA,NQ
37,35,68,68,fill,194,206,191,105,161,I rode,the fastest,train,"in Rotterdam,",so I'm glad I went.,0,FILL,FILL,FILL,"I've just returned from a lovely two-week stay in The Netherlands. I was really shocked. According to my friends,",2675,NA,NA,NA,NQ
37,35,69,75,fill,50,159,160,174,110,I rented,the priciest,car available,"in Stockholm,",so I made some nice memories.,0,FILL,FILL,FILL,"I got home yesterday from a short vacation in Sweden. You won't believe it! According to locals,",5380,NA,NA,NA,NQ
37,35,70,48,exp,113,95,337,230,103,Every,castle,seemed well-maintained,"in Istanbul,",so there was plenty of choice.,0,EXT-EM,EM,EXT,I was checking out a guidebook to find suggestions for well-maintained castles to try out in Istanbul and other cities.,7836,seemed,well-maintained,NA,NQ
37,35,71,45,exp,143,17,257,23,76,Every,lighthouse,looked magnificent,"in Denmark,",so I knew just where to go.,0,EXT-NEM,NEM,EXT,I was watching a vlog for inspiration for magnificent lighthouses to explore in Mexico and other countries.,5869,looked,magnificent,NA,NQ
37,35,72,118,fill,128,359,110,142,22,I walked along,the straightest,canal path,"in Wales,",so I really enjoyed it.,0,FILL,FILL,FILL,"I'm just back from a lovely two-week stay in Bangor. I'm really pleased! Apparently,",2206,NA,NA,NA,NQ
37,35,73,34,exp,186,107,105,116,57,Every,excursion,in Bucharest,"seemed unique,",so I had some deciding to do.,0,INT-EM,EM,INT,I was on a travel app researching unique excursions to enjoy in Bucharest and other cities.,2290,seemed,unique,NA,NQ
37,35,74,21,exp,178,224,305,33,61,Every,building,looked unique,"in Finland,",so I decided to go there.,0,EXT-NEM,NEM,EXT,I was watching a vlog for inspiration for unique buildings to visit in Switzerland and other countries.,3570,looked,unique,NA,NQ
37,35,75,19,exp,117,204,151,135,202,Every,hike,in Switzerland,"looked scenic,",so I had some deciding to do.,0,INT-NEM,NEM,INT,I was flicking through a holiday brochure to find scenic hikes to enjoy in China and other countries.,185735,looked,scenic,NA,NQ
37,35,76,40,exp,155,117,150,108,141,Every,garden,seemed colourful,"in Zagreb,",so I knew just where to go.,0,EXT-EM,EM,EXT,I was on a travel app researching colourful gardens to explore in Zagreb and other cities.,5747,seemed,colourful,NA,NQ
37,35,77,111,fill,187,131,155,20,251,I got to experience,the most vibrant,nightlife,"in Thailand,",so I made some nice memories.,0,FILL,FILL,FILL,"I got home yesterday from a well-earned break in Phuket. You won't believe it! According to locals,",3984,NA,NA,NA,NQ
37,35,78,86,fill,132,179,149,51,458,I walked across,the most famous,bridge,"in Lisbon,",so I really enjoyed it.,1,FILL,FILL,FILL,"I've just returned from a well-earned break in Portugal. I was really shocked. Apparently,",3173,NA,NA,2170,1
37,35,79,103,fill,343,127,144,142,187,I bought,the most fashionable,jacket,"in Russia,",so it was a lovely time.,1,FILL,FILL,FILL,"I'm just back from a lovely two-week stay in St. Petersburg. I'm really pleased! According to locals,",3006,NA,NA,1149,1
37,35,80,10,exp,434,138,134,259,76,Every,canal,in Gloucester,"seemed lovely,",so I knew just where to go.,0,INT-EM,EM,INT,I was on a travel app researching lovely canals to explore in Gloucester and other cities.,3046,seemed,lovely,NA,NQ
37,35,81,60,exp,193,98,183,109,296,Every,neighbourhood,seemed bustling,"in Tokyo,",so I knew just where to go.,1,EXT-EM,EM,EXT,I was checking out a guidebook to find suggestions for bustling neighbourhoods to explore in Tokyo and other cities.,23252,seemed,bustling,1702,1
37,35,82,91,fill,86,49,26,166,50,I got to try,the most delicious,spaghetti,"in the US,",so I made some nice memories.,1,FILL,FILL,FILL,"I'm just back from a well-earned break in Chicago. I'm really pleased! According to locals,",2005,NA,NA,1004,1
37,35,83,90,fill,163,233,229,100,290,I ate,the nicest,cheese,"in Johannesburgh,",so it was a lovely time.,0,FILL,FILL,FILL,"I got home yesterday from a short vacation in South Africa. You won't believe it! Apparently,",1953,NA,NA,NA,NQ
37,35,84,72,fill,207,154,117,345,244,I tried,the spiciest,noodles you can find,"in Vancouver,",so I made some nice memories.,1,FILL,FILL,FILL,"I got home yesterday from a week-long trip in Canada. You won't believe it! According to my friends,",4205,NA,NA,1034,1
37,35,85,99,fill,210,55,241,97,297,I got to look around,the most well-established,museum,"in Scotland,",so I really enjoyed it.,1,FILL,FILL,FILL,"I got home yesterday from a great holiday in Dundee. You won't believe it! According to locals,",1897,NA,NA,998,1
37,35,86,112,fill,949,1355,2231,1930,1545,I ate,the best,sushi,"in Japan,",so I really enjoyed it.,0,FILL,FILL,FILL,"I'm just back from a week-long trip in Kyoto. I'm really pleased! According to my friends,",43567,NA,NA,NA,NQ
37,35,87,76,fill,2275,3123,2534,2858,3748,I visited,the smallest,coffee shop,"in São Paulo,",so I really enjoyed it.,0,FILL,FILL,FILL,"I'm just back from a well-earned break in Brazil. I'm really pleased! According to my friends,",2389,NA,NA,759009,1
37,35,88,11,exp,356,348,295,399,374,Every,village,in Germany,"looked quaint,",so I decided to go there.,1,INT-NEM,NEM,INT,I was reading a blog to get some ideas for quaint vilages to visit in Slovenia and other countries.,3584,looked,quaint,1188,1
37,35,89,81,fill,218,153,212,138,195,I visited,the most ancient,temple,"in Bangkok,",so it was a lovely time.,0,FILL,FILL,FILL,"I got home yesterday from a well-earned break in Thailand. You won't believe it! Allegedly,",2791,NA,NA,NA,NQ
37,35,90,101,fill,219,185,117,285,189,I took a boat trip on,the deepest,lake,"in China,",so I made some nice memories.,1,FILL,FILL,FILL,"I've just returned from a well-earned break in Beijing. I was really shocked. Allegedly,",3746,NA,NA,779,1
37,35,91,63,fill,203,184,159,118,138,I ate,the most expensive,pizza,"in Rome,",so I made some nice memories.,0,FILL,FILL,FILL,"I got home yesterday from a lovely two-week stay in Italy. You won't believe it! According to locals,",4336,NA,NA,NA,NQ
37,35,92,108,fill,174,192,202,138,478,I ordered,the most alcoholic,cocktail,"in Switzerland,",so I really enjoyed it.,0,FILL,FILL,FILL,"I got home yesterday from a lovely two-week stay in Zürich. You won't believe it! According to my friends,",1822,NA,NA,NA,NQ
37,35,93,50,exp,239,199,131,22,140,Every,temple,in Sydney,"seemed fantastic,",so I knew just where to go.,0,INT-EM,EM,INT,I was on a website trying to find fantastic temples to explore in Sydney and other cities.,3270,seemed,fantastic,NA,NQ
37,35,94,14,exp,214,172,85,192,622,Every,tour,in Budapest,"seemed relaxing,",so I had some deciding to do.,1,INT-EM,EM,INT,I was on a website trying to find relaxing tours to enjoy in Budapest and other cities.,2771,seemed,relaxing,1231,1
37,35,95,62,fill,171,118,168,94,186,I experienced,the hottest,day on record,"in Bordeaux,",so it was a lovely time.,0,FILL,FILL,FILL,"I've just returned from a week-long trip in France. I was really shocked. Apparently,",4356,NA,NA,NA,NQ
37,35,96,25,exp,103,246,188,136,137,Every,river,looked soothing,"in Poland,",so I knew just where to go.,0,EXT-NEM,NEM,EXT,I was flicking through a holiday brochure to find soothing rivers to explore in Norway and other countries.,2755,looked,soothing,NA,NQ
37,35,97,79,fill,76,269,38,190,173,I tried,the best,ice-cream,"in Athens,",so I made some nice memories.,1,FILL,FILL,FILL,"I'm just back from a great holiday in Greece. I'm really pleased! According to locals,",2236,NA,NA,1002,1
37,35,98,92,fill,226,237,377,124,99,I bathed in,the cleanest,sea,"in France,",so I really enjoyed it.,0,FILL,FILL,FILL,"I've just returned from a week-long trip in Nice. I was really shocked. According to my friends,",1834,NA,NA,NA,NQ
37,35,99,98,fill,195,172,104,256,101,I was staying near,the oldest,university,"in The Netherlands,",so I made some nice memories.,0,FILL,FILL,FILL,"I've just returned from a lovely two-week stay in Utrecht. I was really shocked. Apparently,",2770,NA,NA,NA,NQ
37,35,100,66,fill,204,98,307,151,134,I got to see,the greenest,park,"in Brussels,",so I made some nice memories.,0,FILL,FILL,FILL,"I got home yesterday from a well-earned break in Belgium. You won't believe it! Apparently,",1802,NA,NA,NA,NQ
37,35,101,78,fill,167,135,158,342,167,I drank from,the most well-known,fountain,"in Bern,",so it was a lovely time.,0,FILL,FILL,FILL,"I got home yesterday from a lovely two-week stay in Switzerland. You won't believe it! Apparently,",2028,NA,NA,NA,NQ
37,35,102,115,fill,130,369,163,80,592,I got to see,the biggest,Mosque minaret,"in Turkey,",so I really enjoyed it.,0,FILL,FILL,FILL,"I'm just back from a short vacation in Antalya. I'm really pleased! According to locals,",2676,NA,NA,NA,NQ
37,35,103,65,fill,170,310,240,124,72,I'd booked in at,the oldest,B&B,"in York,",so it was a lovely time.,0,FILL,FILL,FILL,"I've just returned from a short vacation in England. I was really shocked. Allegedly,",1631,NA,NA,NA,NQ
37,35,104,61,fill,153,157,135,166,247,I climbed,the tallest,building,"in New York,",so I'm glad I went.,0,FILL,FILL,FILL,"I'm just back from a well-earned break in the US. I'm really pleased! Allegedly,",3976,NA,NA,NA,NQ
37,35,105,41,exp,154,166,338,388,129,Every,waterfall,looked gorgeous,"in Venezuela,",so I decided to go there.,1,EXT-NEM,NEM,EXT,I was reading a blog to get some ideas for gorgeous waterfalls to visit in Slovakia and other countries.,4432,looked,gorgeous,1144,1
37,35,106,17,exp,617,176,166,157,228,Every,guesthouse,looked old-fashioned,"in China,",so I booked straightaway.,0,EXT-NEM,NEM,EXT,I was reading a blog to get some ideas for old-fashioned guesthouses to stay at in France and other countries.,989,looked,old-fashioned,NA,NQ
37,35,107,64,fill,185,135,185,136,178,I stayed at,the most luxurious,hotel,"in Berlin,",so I really enjoyed it.,1,FILL,FILL,FILL,"I'm just back from a great holiday in Germany. I'm really pleased! According to my friends,",11810,NA,NA,996,1
37,35,108,55,exp,174,101,186,196,166,Every,forest,in Greece,"looked sprawling,",so I knew just where to go.,1,INT-NEM,NEM,INT,I was flicking through a holiday brochure to find sprawling forests to explore in Austria and other countries.,10117,looked,sprawling,1196,1
37,35,109,42,exp,190,156,133,160,397,Every,barge,in Krakow,"seemed spacious,",so I booked straightaway.,0,INT-EM,EM,INT,I was checking out a guidebook to find suggestions for spacious barges to stay at in Krakow and other cities.,36452,seemed,spacious,NA,NQ
37,35,110,97,fill,190,150,121,129,167,I visited,the most historical,monument,"in Austria,",so it was a lovely time.,0,FILL,FILL,FILL,"I'm just back from a week-long trip in Salzburg. I'm really pleased! Allegedly,",2885,NA,NA,NA,NQ
37,35,111,110,fill,144,168,123,137,548,I got to see,the most romantic,sunsets,"in Colombia,",so it was a lovely time.,1,FILL,FILL,FILL,"I've just returned from a short vacation in Cartagena. I was really shocked. Apparently,",3015,NA,NA,1108,1
37,35,112,109,fill,181,164,162,155,217,I went on,the most scenic,boat trip,"in Greece,",so I'm glad I went.,0,FILL,FILL,FILL,"I'm just back from a great holiday in Corfu. I'm really pleased! Allegedly,",17933,NA,NA,NA,NQ
37,35,113,35,exp,161,393,148,495,382,Every,palace,in Egypt,"looked opulent,",so I knew just where to go.,0,INT-NEM,NEM,INT,I was reading a blog to get some ideas for opulent palaces to explore in Sweden and other countries.,94289,looked,opulent,NA,NQ
37,35,114,5,exp,232,228,167,120,180,Every,market,looked exciting,"in Portugal,",so I knew just where to go.,0,EXT-NEM,NEM,EXT,I was reading a blog to get some ideas for exciting markets to explore in Scotland and other countries.,3068,looked,exciting,NA,NQ
37,35,115,102,fill,162,214,191,176,694,I got to taste,the most authentic,gelato,"in Canada,",so I really enjoyed it.,0,FILL,FILL,FILL,"I got home yesterday from a week-long trip in Ottawa. You won't believe it! Apparently,",1922,NA,NA,NA,NQ
37,35,116,105,fill,231,175,165,154,253,I went down,the fastest,waterslide,"in Sweden,",so I really enjoyed it.,1,FILL,FILL,FILL,"I got home yesterday from a short vacation in Gothenburg. You won't believe it! Allegedly,",2290,NA,NA,1000,1
37,35,117,27,exp,190,198,96,121,183,Every,cabin,in Hungary,"looked peaceful,",so I booked straightaway.,1,INT-NEM,NEM,INT,I was watching a vlog for inspiration for peaceful cabins to stay at in Poland and other countries.,4431,looked,peaceful,1410,1
