Participant,Age,TrialN,StimID,StimType,C1.RT,C2.RT,C3.RT,C4.RT,SPILL.RT,CHUNK1,CHUNK2,CHUNK3,CHUNK4,SPILL,CompAcc,Condition,RestrictorType,RestrictorPosition,Context,ContextRT,LOOK_SEEM,Adj,CompRT,has_comp
23,32,77,4,exp,421.59999999999997,274.7,239.1,354.2,586,Every,park,in Newcastle,"seemed nice,",so I had some deciding to do.,1,INT-EM,EM,INT,I was on a travel app researching nice parks to enjoy in Newcastle and other cities.,1969,seemed,nice,1409.8999999999999,1
23,32,78,23,exp,371,248.6,341.9,410.7,465.3,Every,cruise,looked idyllic,"in Norway,",so there was plenty of choice.,0,EXT-NEM,NEM,EXT,I was reading a blog to get some ideas for idyllic cruises to try out in Finland and other countries.,2632.2000000000003,looked,idyllic,NA,NQ
23,32,79,15,exp,315.40000000000003,225.5,248.79999999999998,348.6,475.9,Every,town,looked pretty,"in France,",so I knew just where to go.,0,EXT-NEM,NEM,EXT,I was watching a vlog for inspiration for pretty towns to explore in Peru and other countries.,2033.3999999999999,looked,pretty,NA,NQ
23,32,80,30,exp,748.7,1157.8,272.2,417.7,654.1,Every,square,seemed busy,"in Florence,",so I knew just where to go.,0,EXT-EM,EM,EXT,I was checking out a guidebook to find suggestions for busy squares to explore in Florence and other cities.,2706.7999999999997,seemed,busy,NA,NQ
23,32,81,11,exp,908.3,252,284.5,332.1,438.40000000000003,Every,village,looked quaint,"in Germany,",so I decided to go there.,1,EXT-NEM,NEM,EXT,I was reading a blog to get some ideas for quaint vilages to visit in Slovenia and other countries.,2682,looked,quaint,976.8,1
23,32,82,84,fill,310.40000000000003,207.7,288.7,557.6,456.6,I stayed at,the cleanest,hostel,"in Marrakesh,",so I'm glad I went.,0,FILL,FILL,FILL,"I got home yesterday from a great holiday in Morrocco. You won't believe it! According to my friends,",1492.6,NA,NA,NA,NQ
23,32,83,35,exp,315.2,257,377.5,265.5,445.2,Every,palace,looked opulent,"in Egypt,",so I knew just where to go.,0,EXT-NEM,NEM,EXT,I was reading a blog to get some ideas for opulent palaces to explore in Sweden and other countries.,2332.1,looked,opulent,NA,NQ
23,32,84,90,fill,255.30000000000004,201.9,303.20000000000005,450,466.6,I ate,the nicest,cheese,"in Johannesburgh,",so it was a lovely time.,0,FILL,FILL,FILL,"I got home yesterday from a short vacation in South Africa. You won't believe it! Apparently,",1660.6000000000001,NA,NA,NA,NQ
23,32,85,69,fill,356,361.09999999999997,301.70000000000005,424.3,509,I was able to take photos of,the rarest,bird,"in Aberdeen,",so I made some nice memories.,0,FILL,FILL,FILL,"I got home yesterday from a great holiday in Scotland. You won't believe it! Allegedly,",1651.7,NA,NA,NA,NQ
23,32,86,3,exp,383.5,184.9,334.5,333.5,616.7,Every,restaurant,looked fancy,"in Scotland,",so there was plenty of choice.,0,EXT-NEM,NEM,EXT,I was watching a vlog for inspiration for fancy restaurants to try out in Italy and other countries.,2248.7,looked,fancy,NA,NQ
23,32,87,116,fill,448.79999999999995,465.6,470.4,301.20000000000005,424.8,I was lucky enough to try,the finest,wine,"in Portugal,",so I'm glad I went.,0,FILL,FILL,FILL,"I've just returned from a well-earned break in Madeira. I was really shocked. According to my friends,",2474.2999999999997,NA,NA,NA,NQ
