Participant,Age,TrialN,StimID,StimType,C1.RT,C2.RT,C3.RT,C4.RT,SPILL.RT,CHUNK1,CHUNK2,CHUNK3,CHUNK4,SPILL,CompAcc,ExceptiveType,MAXRestrType,MAXRestr,MENRestrType,MENRestr,Context,ContextRT,LOOK_SEEM,Condition,ExceptivePosition,EXCEPTIVE,CompRT,has_comp
60,32,1,17,exp,665.400001,399.90000100000003,533.900001,884.2000009999999,936.5,Every,guesthouse,looked old-fashioned,"except those in France,",so I needed to do more research.,1,MEN,website,on the website,country,in France,I was on a website trying to find old-fashioned guesthouses to stay at in France and other countries.,88348.5,looked,PST-MEN,PST,except those in France,2526.599999,1
60,32,2,15,exp,480.79999899999996,334.9,431.90000000000003,584.5,999.8000000000001,Every,town,looked pretty,"except those in the blog,",so I had some deciding to do.,1,MAX,blog,in the blog,country,in Peru,I was reading a blog to get some ideas for pretty towns to explore in Peru and other countries.,22361.2,looked,PST-MAX,PST,except those in the blog,2278.6,1
60,32,3,47,exp,886.700001,816,568.3000000000001,666.4,630.5,Every,chalet,looked pleasant,"except those on the website,",so I didn't know what to do.,1,MAX,website,on the website,country,in Denmark,I was on a website trying to find pleasant chalets to stay at in Denmark and other countries.,183683.4,looked,PST-MAX,PST,except those on the website,2158.400001,1
60,32,4,35,exp,405,334.6,537.4,738.1999999999999,886.099999,Every,palace,looked opulent,"except those in the blog,",so I needed to do more research.,1,MAX,blog,in the blog,country,in Sweden,I was reading a blog to get some ideas for opulent palaces to explore in Sweden and other countries.,7131,looked,PST-MAX,PST,except those in the blog,2865.2000009999997,1
60,32,5,18,exp,418.1,326,657.5,533.2999990000001,798.8,Every,café,except those in the vlog,"seemed cute,",so I had some deciding to do.,1,MAX,vlog,in the vlog,city,in Glasgow,I was watching a vlog for inspiration for cute cafés to try out in Glasgow and other cities.,3163.400001,seemed,PRE-MAX,PRE,except those in the vlog,2567.8999999999996,1
60,32,6,36,exp,365.599999,335,566.6999999999999,550.400001,766.5,Every,place,except those in Los Angeles,"seemed awesome,",so I had some deciding to do.,1,MEN,brochure,in the brochure,city,in Los Angeles,I was flicking through a holiday brochure to find awesome places to visit in Los Angeles and other cities.,5200.299999,seemed,PRE-MEN,PRE,except those in Los Angeles,4413.700000999999,1
60,32,7,85,fill,630.5,649.5999999999999,520.9,433.59999999999997,719.099999,I went up,the newest,skyscraper,"in Istanbul,",so I made some nice memories.,1,FILL,city,in Turkey,country,in Istanbul,"I'm just back from a short vacation in Turkey. I'm really pleased! Allegedly,",2507.299999,NA,FILL,FILL,FILL,2277.8999999999996,1
60,32,8,77,fill,533.5,368.400001,352.4,479.6,502.09999999999997,I sunbathed,the longest,beach,"in Mumbai,",so I'm glad I went.,1,FILL,city,in India,country,in Mumbai,"I've just returned from a week-long trip in India. I was really shocked. Allegedly,",2413.900001,NA,FILL,FILL,FILL,2066,1
60,32,9,110,fill,652.5,449.5,316,350.2,600.900001,I got to see,the most romantic,sunsets,"in Colombia,",so it was a lovely time.,0,FILL,country,in Cartagena,city,in Colombia,"I've just returned from a short vacation in Cartagena. I was really shocked. Apparently,",3255,NA,FILL,FILL,FILL,2884.3999999999996,1
60,32,10,34,exp,497.7,349.79999899999996,483.70000000000005,687.799999,568.2,Every,excursion,except those on the app,"seemed action-packed,",so I didn't know what to do.,1,MAX,app,on the app,city,in Bucharest,I was on a travel app researching action-packed excursions to enjoy in Bucharest and other cities.,9052.4,seemed,PRE-MAX,PRE,except those on the app,3111.8,1
60,32,11,54,exp,418.5,318.599999,518.2,519,752.7,Every,walk,except those on the app,"seemed easy,",so I had some deciding to do.,1,MAX,app,on the app,city,in Barcelona,I was on a travel app researching easy walks to enjoy in Barcelona and other cities.,20672.2,seemed,PRE-MAX,PRE,except those on the app,1748.299999,1
60,32,12,33,exp,838.8,335.4,385.90000000000003,579,672.2999990000001,Every,zoo,looked responsible,"except those in Thailand,",so I had some deciding to do.,1,MEN,vlog,in the vlog,country,in Thailand,I was watching a vlog for inspiration for responsible zoos to try out in Thailand and other countries.,14270,looked,PST-MEN,PST,except those in Thailand,2062.3,1
60,32,13,62,fill,502.8,364.3,363.09999999999997,510.6000000000001,622.1999999999999,I experienced,the hottest,day on record,"in Bordeaux,",so it was a lovely time.,1,FILL,city,in France,country,in Bordeaux,"I've just returned from a week-long trip in France. I was really shocked. Apparently,",3911.5,NA,FILL,FILL,FILL,1812.3,1
60,32,14,92,fill,503.6,367.400001,361.5,401.3,470.7,I bathed in,the cleanest,sea,"in France,",so I really enjoyed it.,1,FILL,country,in Nice,city,in France,"I've just returned from a week-long trip in Nice. I was really shocked. According to my friends,",3565.3,NA,FILL,FILL,FILL,1387.599999,1
60,32,15,88,fill,547.3,401.5,435.3,465.8,535.8000000000001,I got to stay in,the least well-known,area,"in Swansea,",so I made some nice memories.,1,FILL,city,in Wales,country,in Swansea,"I'm just back from a lovely two-week stay in Wales. I'm really pleased! According to my friends,",2821.7,NA,FILL,FILL,FILL,1905.900001,1
60,32,16,103,fill,500.900001,434.40000000000003,549.2,670.8,638.5999999999999,I bought,the most fashionable,jacket,"in Russia,",so it was a lovely time.,1,FILL,country,in St. Petersburg,city,in Russia,"I'm just back from a lovely two-week stay in St. Petersburg. I'm really pleased! According to locals,",3639.3,NA,FILL,FILL,FILL,2038.5,1
60,32,17,39,exp,403.90000100000003,331.900001,383.5,569.400001,596.7,Every,lake,looked pristine,"except those on the app,",so I didn't know what to do.,1,MAX,app,on the app,country,in Australia,I was on a travel app researching pristine lakes to enjoy in Australia and other countries.,6663.700000000001,looked,PST-MAX,PST,except those on the app,2423.6,1
60,32,18,106,fill,501,363.09999999999997,387.29999999999995,547.2,484.5,I did,the most difficult,trek,"in Brazil,",so it was a lovely time.,1,FILL,country,in Rio de Janeiro,city,in Brazil,"I'm just back from a well-earned break in Rio de Janeiro. I'm really pleased! Apparently,",3605.400001,NA,FILL,FILL,FILL,1851.5,1
60,32,19,22,exp,714.6,466.2,654.5999999999999,518.7,599,Every,cottage,except those on the website,"seemed charming,",so I needed to do more research.,1,MAX,website,on the website,city,in Durham,I was on a website trying to find charming cottages to stay at in Durham and other cities.,5011,seemed,PRE-MAX,PRE,except those on the website,3119,1
60,32,20,97,fill,503.900001,447.2,718.4000000000001,850.8,600.3,I visited,the most historical,monument,"in Austria,",so it was a lovely time.,1,FILL,country,in Salzburg,city,in Austria,"I'm just back from a week-long trip in Salzburg. I'm really pleased! Allegedly,",2418.7,NA,FILL,FILL,FILL,1715.099999,1
60,32,21,107,fill,392.900001,368.59999999999997,472.8,535.6999999999999,533.1,I enjoyed,the cheapest,vegan food,"in India,",so I made some nice memories.,1,FILL,country,in Delhi,city,in India,"I've just returned from a week-long trip in Delhi. I was really shocked. According to locals,",2417.9,NA,FILL,FILL,FILL,1762.6,1
60,32,22,108,fill,404.5,472.2,436,552.700001,616.8000000000001,I ordered,the most alcoholic,cocktail,"in Switzerland,",so I really enjoyed it.,1,FILL,country,in Zürich,city,in Switzerland,"I got home yesterday from a lovely two-week stay in Zürich. You won't believe it! According to my friends,",3721,NA,FILL,FILL,FILL,2416.2,1
60,32,23,109,fill,381.799999,337.2,648.8000000000001,502,498.599999,I went on,the most scenic,boat trip,"in Greece,",so I'm glad I went.,1,FILL,country,in Corfu,city,in Greece,"I'm just back from a great holiday in Corfu. I'm really pleased! Allegedly,",1952.1,NA,FILL,FILL,FILL,1821.5,1
60,32,24,7,exp,450.400001,337.799999,283.200001,466.9,644.5,Every,museum,looked cool,"except those on the website,",so I had some deciding to do.,1,MAX,website,on the website,country,in Portugal,I was on a website trying to find cool museums to visit in Portugal and other countries.,4291.2,looked,PST-MAX,PST,except those on the website,1822.2,1
60,32,25,75,fill,452.1,519,616.900001,548.8,669.3,I rented,the priciest,car available,"in Stockholm,",so I made some nice memories.,1,FILL,city,in Sweden,country,in Stockholm,"I got home yesterday from a short vacation in Sweden. You won't believe it! According to locals,",2924.7000000000003,NA,FILL,FILL,FILL,2080.5,1
60,32,26,38,exp,418.8,317.400001,282.1,449.59999899999997,602.4000000000001,Every,pub,except those in the vlog,"seemed cosy,",so I had some deciding to do.,1,MAX,vlog,in the vlog,city,in Perth,I was watching a vlog for inspiration for cosy pubs to try out in Perth and other cities.,6934,seemed,PRE-MAX,PRE,except those in the vlog,2073.5,1
60,32,27,20,exp,386.90000000000003,333,300.20000000000005,468.6,716.9,Every,church,except those in Belfast,"seemed ornate,",so I had some deciding to do.,1,MEN,blog,in the blog,city,in Belfast,I was reading a blog to get some ideas for ornate churches to explore in Belfast and other cities.,3838.599999,seemed,PRE-MEN,PRE,except those in Belfast,2019.0000000000002,1
60,32,28,90,fill,464.4,420.5,430.4,788.1,518.5999999999999,I ate,the nicest,cheese,"in Johannesburgh,",so it was a lovely time.,1,FILL,city,in South Africa,country,in Johannesburgh,"I got home yesterday from a short vacation in South Africa. You won't believe it! Apparently,",2287.3,NA,FILL,FILL,FILL,2550,1
60,32,29,3,exp,565.8,516,335.1,466.59999899999997,499,Every,restaurant,looked fancy,"except those in the vlog,",so I didn't know what to do.,1,MAX,vlog,in the vlog,country,in Italy,I was watching a vlog for inspiration for fancy restaurants to try out in Italy and other countries.,2989,looked,PST-MAX,PST,except those in the vlog,1454.5,1
60,32,30,87,fill,821.4,447,535,384.6,449.90000000000003,I sailed down,the widest,river,"in Dublin,",so it was a lovely time.,1,FILL,city,in Ireland,country,in Dublin,"I got home yesterday from a week-long trip in Ireland. You won't believe it! According to locals,",3375.9,NA,FILL,FILL,FILL,1748.6999999999998,1
60,32,31,117,fill,535.400001,1917.099999,570.9,618.7,680.3000000000001,I went to a gig by,the most famous,band,"in Ireland,",so I made some nice memories.,1,FILL,country,in Galway,city,in Ireland,"I got home yesterday from a week-long trip in Galway. You won't believe it! Allegedly,",2067.6,NA,FILL,FILL,FILL,1373.6,1
60,32,32,41,exp,499.7,396.2,339.09999899999997,469.59999899999997,504,Every,waterfall,looked gorgeous,"except those in Slovakia,",so I had some deciding to do.,1,MEN,brochure,in the brochure,country,in Slovakia,I was flicking through a holiday brochure to find gorgeous waterfalls to visit in Slovakia and other countries.,2839.3,looked,PST-MEN,PST,except those in Slovakia,2127,1
60,32,33,80,fill,584.7999990000001,472.5,385.2,418.4,569.6999999999999,I got to enjoy,the tastiest,curry,"in Bogotá,",so I really enjoyed it.,1,FILL,city,in Colombia,country,in Bogotá,"I've just returned from a short vacation in Colombia. I was really shocked. According to my friends,",2542.2,NA,FILL,FILL,FILL,2226.9,1
60,32,34,64,fill,469.8,430.09999999999997,436.200001,384.5,451.900001,I stayed at,the most luxurious,hotel,"in Berlin,",so I really enjoyed it.,1,FILL,city,in Germany,country,in Berlin,"I'm just back from a great holiday in Germany. I'm really pleased! According to my friends,",14693.6,NA,FILL,FILL,FILL,1573.9,1
60,32,35,119,fill,388.5,355.40000100000003,375.900001,483.099999,583.8,I got to enjoy,the most remote,hot spring,"in Hungary,",so it was a lovely time.,1,FILL,country,in Debrecen,city,in Hungary,"I've just returned from a great holiday in Debrecen. I was really shocked. According to locals,",4767.299999,NA,FILL,FILL,FILL,1360,1
60,32,36,63,fill,489.9,348.4,361.59999999999997,368.599999,485.5,I ate,the most expensive,pizza,"in Rome,",so I made some nice memories.,1,FILL,city,in Italy,country,in Rome,"I got home yesterday from a lovely two-week stay in Italy. You won't believe it! According to locals,",11785.5,NA,FILL,FILL,FILL,1570.599999,1
60,32,37,93,fill,487.5,332.8,317.09999999999997,535.4,438.099999,I took,the highest,helicopter ride,"in Italy,",so I'm glad I went.,1,FILL,country,in Milan,city,in Italy,"I got home yesterday from a lovely two-week stay in Milan. You won't believe it! Allegedly,",2283.7999990000003,NA,FILL,FILL,FILL,1439.2999989999998,1
60,32,38,65,fill,498.799999,367.09999999999997,334.5,334.59999899999997,447.79999999999995,I'd booked in at,the oldest,B&B,"in York,",so it was a lovely time.,1,FILL,city,in England,country,in York,"I've just returned from a short vacation in England. I was really shocked. Allegedly,",3206.5,NA,FILL,FILL,FILL,1409.5,1
60,32,39,2,exp,1401.4,553.599999,618.3,446.29999999999995,713.0999999999999,Every,hostel,except those on the website,"seemed quirky,",so I had some deciding to do.,1,MAX,website,on the website,city,in London,I was on a website trying to find quirky hostels to stay at in London and other cities.,7405.2,seemed,PRE-MAX,PRE,except those on the website,1858.400001,1
60,32,40,13,exp,624.5999989999999,316.099999,287.2,507,533.8000000000001,Every,campsite,looked picturesque,"except those in Germany,",so I didn't know what to do.,1,MEN,vlog,in the vlog,country,in Germany,I was watching a vlog for inspiration for picturesque campsites to try out in Germany and other countries.,4268.6,looked,PST-MEN,PST,except those in Germany,2100.900001,1
60,32,41,86,fill,458.8,335.8,354.5,319,437.7,I walked across,the most famous,bridge,"in Lisbon,",so I really enjoyed it.,1,FILL,city,in Portugal,country,in Lisbon,"I've just returned from a well-earned break in Portugal. I was really shocked. Apparently,",2881.4,NA,FILL,FILL,FILL,1175.3,1
60,32,42,120,fill,417,334.6,432.7,533.4,586.400001,I took,the most indirect,train journey,"in South Africa,",so I made some nice memories.,1,FILL,country,in Cape Town,city,in South Africa,"I got home yesterday from a short vacation in Cape Town. You won't believe it! According to my friends,",2164.900001,NA,FILL,FILL,FILL,1380.7,1
60,32,43,73,fill,609,418.5,429.599999,533,483.200001,I got to experience,the heaviest,snow to ever fall,"in Moscow,",so I really enjoyed it.,1,FILL,city,in Russia,country,in Moscow,"I'm just back from a lovely two-week stay in Russia. I'm really pleased! Allegedly,",1725.9,NA,FILL,FILL,FILL,1526.2999989999998,1
60,32,44,98,fill,451.29999999999995,469.5,349,415.9,566.9,I was staying near,the oldest,university,"in The Netherlands,",so I made some nice memories.,1,FILL,country,in Utrecht,city,in The Netherlands,"I've just returned from a lovely two-week stay in Utrecht. I was really shocked. Apparently,",2721.5,NA,FILL,FILL,FILL,1767.7,1
60,32,45,66,fill,399.1,321,410.7,316.900001,464.5,I got to see,the greenest,park,"in Brussels,",so I made some nice memories.,1,FILL,city,in Belgium,country,in Brussels,"I got home yesterday from a well-earned break in Belgium. You won't believe it! Apparently,",3129.2999990000003,NA,FILL,FILL,FILL,1654.4,1
60,32,46,111,fill,480.200001,326.7,451.29999999999995,591.8,483.9,I got to experience,the most vibrant,nightlife,"in Thailand,",so I made some nice memories.,1,FILL,country,in Phuket,city,in Thailand,"I got home yesterday from a well-earned break in Phuket. You won't believe it! According to locals,",3342.599999,NA,FILL,FILL,FILL,1591.6999999999998,1
60,32,47,102,fill,420,383.90000000000003,519,414.6,465,I got to taste,the most authentic,gelato,"in Canada,",so I really enjoyed it.,1,FILL,country,in Ottawa,city,in Canada,"I got home yesterday from a week-long trip in Ottawa. You won't believe it! Apparently,",2390.200001,NA,FILL,FILL,FILL,1667.2,1
60,32,48,112,fill,368.70000000000005,301.3,349.5,352.2,506.49999999999994,I ate,the best,sushi,"in Japan,",so I really enjoyed it.,1,FILL,country,in Kyoto,city,in Japan,"I'm just back from a week-long trip in Kyoto. I'm really pleased! According to my friends,",2261.6,NA,FILL,FILL,FILL,2322.9,1
60,32,49,5,exp,666.2999990000001,320.1,270.299999,449.400001,551.2,Every,market,looked exciting,"except those in Scotland,",so I had some deciding to do.,1,MEN,blog,in the blog,country,in Scotland,I was reading a blog to get some ideas for exciting markets to explore in Scotland and other countries.,34324.7,looked,PST-MEN,PST,except those in Scotland,1885.2,1
60,32,50,89,fill,385.599999,302.200001,285.6,436.09999999999997,432.8,I had,the finest,seafood,"in Budapest,",so I really enjoyed it.,1,FILL,city,in Hungary,country,in Budapest,"I've just returned from a great holiday in Hungary. I was really shocked. Allegedly,",1973.1000000000001,NA,FILL,FILL,FILL,1725.3,1
60,32,51,76,fill,331.09999899999997,304.4,382,383.2,486.4,I visited,the smallest,coffee shop,"in São Paulo,",so I really enjoyed it.,1,FILL,city,in Brazil,country,in São Paulo,"I'm just back from a well-earned break in Brazil. I'm really pleased! According to my friends,",2233.2999999999997,NA,FILL,FILL,FILL,1612.900001,1
60,32,52,37,exp,398.8,266.5,263,388.5,497.40000000000003,Every,villa,looked stunning,"except those in Egypt,",so I needed to do more research.,0,MEN,website,on the website,country,in Egypt,I was on a website trying to find stunning villas to stay at in Egypt and other countries.,3545.3,looked,PST-MEN,PST,except those in Egypt,2344.7,1
60,32,53,32,exp,397.59999899999997,335.2,262.29999999999995,354.4,563.6999999999999,Every,apartment,except those in Madrid,"seemed wonderful,",so I needed to do more research.,1,MEN,website,on the website,city,in Madrid,I was on a website trying to find wonderful apartments to stay at in Madrid and other cities.,3760.2000009999997,seemed,PRE-MEN,PRE,except those in Madrid,2039.8999999999999,1
60,32,54,105,fill,432.900001,299.29999899999996,285.59999899999997,366.799999,437,I went down,the fastest,waterslide,"in Sweden,",so I really enjoyed it.,1,FILL,country,in Gothenburg,city,in Sweden,"I got home yesterday from a short vacation in Gothenburg. You won't believe it! Allegedly,",2270.4,NA,FILL,FILL,FILL,1772,1
60,32,55,10,exp,451.2,352.1,417.1,405.799999,600.900001,Every,canal,except those in the blog,"seemed lovely,",so I had some deciding to do.,1,MAX,blog,in the blog,city,in Gloucester,I was reading a blog to get some ideas for lovely canals to explore in Gloucester and other cities.,3789.2000000000003,seemed,PRE-MAX,PRE,except those in the blog,1679.5,1
60,32,56,24,exp,519,351.79999899999996,318.09999999999997,416.2,663.5,Every,getaway,except those in Amsterdam,"seemed romantic,",so I didn't know what to do.,1,MEN,app,on the app,city,in Amsterdam,I was on a travel app researching romantic getaways to enjoy in Amsterdam and other cities.,3055.299999,seemed,PRE-MEN,PRE,except those in Amsterdam,1604.7000010000002,1
60,32,57,1,exp,449.7,348.4,265.6,454.1,577.8,Every,beach,looked beautiful,"except those in Spain,",so I needed to do more research.,1,MEN,brochure,in the brochure,country,in Spain,I was flicking through a holiday brochure to find beautiful beaches to visit in Spain and other countries.,4211.8,looked,PST-MEN,PST,except those in Spain,2125.7999999999997,1
60,32,58,118,fill,499.7,452.7,415.1,418.6,498,I walked along,the straightest,canal path,"in Wales,",so I really enjoyed it.,1,FILL,country,in Bangor,city,in Wales,"I'm just back from a lovely two-week stay in Bangor. I'm really pleased! Apparently,",1790.8999999999999,NA,FILL,FILL,FILL,2104.2999999999997,1
60,32,59,56,exp,397,270,316.599999,432,577.3000000000001,Every,statue,except those in New York,"seemed famous,",so I had some deciding to do.,1,MEN,brochure,in the brochure,city,in New York,I was flicking through a holiday brochure to find famous statues to visit in New York and other cities.,4038.1,seemed,PRE-MEN,PRE,except those in New York,1519.2,1
60,32,60,61,fill,368.3,319.6,332.3,368.20000000000005,498.90000000000003,I climbed,the tallest,building,"in New York,",so I'm glad I went.,1,FILL,city,in the US,country,in New York,"I'm just back from a well-earned break in the US. I'm really pleased! Allegedly,",2539.8,NA,FILL,FILL,FILL,1150.4,1
60,32,61,82,fill,400.8,337.5,316.09999999999997,382.5,502.4,I swam in,the largest,swimming pool,"in Tokyo,",so I made some nice memories.,1,FILL,city,in Japan,country,in Tokyo,"I'm just back from a week-long trip in Japan. I'm really pleased! Apparently,",2252.8,NA,FILL,FILL,FILL,1981.5,1
60,32,62,115,fill,383,301.200001,334.2,971.900001,485.20000000000005,I got to see,the biggest,Mosque minaret,"in Turkey,",so I really enjoyed it.,1,FILL,country,in Antalya,city,in Turkey,"I'm just back from a short vacation in Antalya. I'm really pleased! According to locals,",1886.7,NA,FILL,FILL,FILL,1528.599999,1
60,32,63,30,exp,399.6,265.90000000000003,248.099999,350.5,685.6,Every,square,except those in the blog,"seemed busy,",so I needed to do more research.,1,MAX,blog,in the blog,city,in Florence,I was reading a blog to get some ideas for busy squares to explore in Florence and other cities.,4192.1,seemed,PRE-MAX,PRE,except those in the blog,1510.5,1
60,32,64,19,exp,436.40000000000003,264.5,583.900001,615.7,598.9,Every,hike,looked scenic,"except those on the app,",so I needed to do more research.,1,MAX,app,on the app,country,in China,I was on a travel app researching scenic hikes to enjoy in China and other countries.,4373.2,looked,PST-MAX,PST,except those on the app,2335.7000000000003,1
60,32,65,42,exp,420.59999999999997,232.7,212.4,248.599999,367.59999999999997,Every,barge,except those on the website,"seemed spacious,",so I didn't know what to do.,1,MAX,website,on the website,city,in Krakow,I was on a website trying to find spacious barges to stay at in Krakow and other cities.,4142.8,seemed,PRE-MAX,PRE,except those on the website,1333.200001,1
60,32,66,29,exp,335,233.099999,282.4,382.900001,412.700001,Every,shop,looked trendy,"except those in Hungary,",so I didn't know what to do.,1,MEN,app,on the app,country,in Hungary,I was on a travel app researching trendy shops to enjoy in Hungary and other countries.,5007.3,looked,PST-MEN,PST,except those in Hungary,2176.599999,1
60,32,67,12,exp,452.20000100000004,284.9,183.7,268.5,397,Every,B&B,except those in Cardiff,"seemed cheap,",so I needed to do more research.,1,MEN,website,on the website,city,in Cardiff,I was on a website trying to find cheap B&Bs to stay at in Cardiff and other cities.,2671.3,seemed,PRE-MEN,PRE,except those in Cardiff,1440.1999999999998,1
60,32,68,57,exp,318.09999999999997,281.3,263.400001,405.1,516,Every,farm,looked eco-friendly,"except those in Greece,",so I didn't know what to do.,1,MEN,website,on the website,country,in Greece,I was on a website trying to find eco-friendly farms to stay at in Greece and other countries.,4942.299999,looked,PST-MEN,PST,except those in Greece,3112.6,1
60,32,69,31,exp,362.70000000000005,370.099999,552.400001,332.7,535.5999999999999,Every,bridge,looked amazing,"except those in the brochure,",so I didn't know what to do.,1,MAX,brochure,in the brochure,country,in Argentina,I was flicking through a holiday brochure to find amazing bridges to visit in Argentina and other countries.,5415.6,looked,PST-MAX,PST,except those in the brochure,2278.799999,1
60,32,70,16,exp,368,293.7,281.8,417.700001,618.9,Every,gallery,except those in Venice,"seemed high-end,",so I didn't know what to do.,1,MEN,brochure,in the brochure,city,in Venice,I was flicking through a holiday brochure to find high-end galleries to visit in Venice and other cities.,4087.5000000000005,seemed,PRE-MEN,PRE,except those in Venice,1281,1
60,32,71,26,exp,418.4,265.70000100000004,248.099999,303.5,385.900001,Every,bar,except those in the brochure,"seemed lively,",so I didn't know what to do.,1,MAX,brochure,in the brochure,city,in Prague,I was flicking through a holiday brochure to find lively bars to visit in Prague and other cities.,3825.1,seemed,PRE-MAX,PRE,except those in the brochure,1891.7,1
60,32,72,43,exp,501,260.79999999999995,183,318.79999999999995,535.099999,Every,delicacy,looked tasty,"except those in the vlog,",so I had some deciding to do.,1,MAX,vlog,in the vlog,country,in Venezuela,I was watching a vlog for inspiration for tasty delicacies to try out in Venezuela and other countries.,3353,looked,PST-MAX,PST,except those in the vlog,1862.7000010000002,1
60,32,73,55,exp,471.3,249.4,214.7,301.4,401.7,Every,forest,looked sprawling,"except those in the blog,",so I needed to do more research.,1,MAX,blog,in the blog,country,in Austria,I was reading a blog to get some ideas for sprawling forests to explore in Austria and other countries.,3926.4,looked,PST-MAX,PST,except those in the blog,1830.599999,1
60,32,74,4,exp,1523.2,346.5,784.6999999999999,536.5999999999999,764,Every,park,except those in Newcastle,"seemed nice,",so I needed to do more research.,0,MEN,app,on the app,city,in Newcastle,I was on a travel app researching nice parks to enjoy in Newcastle and other cities.,398.59999899999997,seemed,PRE-MEN,PRE,except those in Newcastle,1824.5,1
60,32,75,52,exp,366.09999999999997,251.90000099999997,284.59999899999997,385.900001,434.59999999999997,Every,lodge,except those in Bangkok,"seemed inexpensive,",so I didn't know what to do.,1,MEN,website,on the website,city,in Bangkok,I was on a website trying to find inexpensive lodges to stay at in Bangkok and other cities.,4376.2,seemed,PRE-MEN,PRE,except those in Bangkok,1109.3999999999999,1
60,32,76,8,exp,364.8,251.3,268.9,348.7,406.5,Every,hotel,except those in Rome,"seemed luxurious,",so I didn't know what to do.,1,MEN,vlog,in the vlog,city,in Rome,I was watching a vlog for inspiration for luxurious hotels to try out in Rome and other cities.,4510.799999,seemed,PRE-MEN,PRE,except those in Rome,1530.4,1
60,32,77,9,exp,318,282.3,263.20000100000004,286.9,484.9,Every,view,looked breathtaking,"except those in Japan,",so I needed to do more research.,1,MEN,app,on the app,country,in Japan,I was on a travel app researching breathtaking views to enjoy in Japan and other countries.,4027.3,looked,PST-MEN,PST,except those in Japan,2479.9,1
60,32,78,48,exp,279.5,186.9,197.099999,301.400001,401.2,Every,castle,except those in Istanbul,"seemed well-maintained,",so I needed to do more research.,1,MEN,vlog,in the vlog,city,in Istanbul,I was watching a vlog for inspiration for well-maintained castles to try out in Istanbul and other cities.,5665.7,seemed,PRE-MEN,PRE,except those in Istanbul,1360.2,1
60,32,79,84,fill,466.7,385,382.900001,452.29999999999995,501.70000000000005,I stayed at,the cleanest,hostel,"in Marrakesh,",so I'm glad I went.,1,FILL,city,in Morrocco,country,in Marrakesh,"I got home yesterday from a great holiday in Morrocco. You won't believe it! According to my friends,",2286.3,NA,FILL,FILL,FILL,1310.7000010000002,1
60,32,80,79,fill,482.9,346.3,348.5,385.1,649.099999,I tried,the best,ice-cream,"in Athens,",so I made some nice memories.,1,FILL,city,in Greece,country,in Athens,"I'm just back from a great holiday in Greece. I'm really pleased! According to locals,",1821.7,NA,FILL,FILL,FILL,1737.4,1
60,32,81,40,exp,264.900001,280.3,299.4,400.5,444.40000000000003,Every,garden,except those in Zagreb,"seemed colourful,",so I needed to do more research.,1,MEN,blog,in the blog,city,in Zagreb,I was reading a blog to get some ideas for colourful gardens to explore in Zagreb and other cities.,4774.9,seemed,PRE-MEN,PRE,except those in Zagreb,1372.700001,1
60,32,82,100,fill,326.79999999999995,499.2,535.2000009999999,418.3,519.3,I arrived during,the best,time for skiing,"in Finland,",so I'm glad I went.,1,FILL,country,in Lapland,city,in Finland,"I'm just back from a short vacation in Lapland. I'm really pleased! According to my friends,",2204.2000000000003,NA,FILL,FILL,FILL,1608.8,1
60,32,83,28,exp,301.4,282.9,567,383.200001,597.5,Every,eatery,except those in Warsaw,"seemed funky,",so I had some deciding to do.,1,MEN,vlog,in the vlog,city,in Warsaw,I was watching a vlog for inspiration for funky eateries to try out in Warsaw and other cities.,4458,seemed,PRE-MEN,PRE,except those in Warsaw,1881,1
60,32,84,46,exp,351.59999899999997,265.5,202.9,377.099999,454.79999999999995,Every,theatre,except those in the brochure,"seemed historic,",so I had some deciding to do.,1,MAX,brochure,in the brochure,city,in Berlin,I was flicking through a holiday brochure to find historic theatres to visit in Berlin and other cities.,5058.2,seemed,PRE-MAX,PRE,except those in the brochure,2446.799999,1
60,32,85,91,fill,379.09999999999997,370.099999,399.40000100000003,468.90000100000003,516.1,I got to try,the most delicious,spaghetti,"in the US,",so I made some nice memories.,1,FILL,country,in Chicago,city,in the US,"I'm just back from a well-earned break in Chicago. I'm really pleased! According to locals,",12418.2,NA,FILL,FILL,FILL,1500.2,1
60,32,86,95,fill,480.2,385,335,366.3,732.5,I went to,the very first,pub,"in England,",so I made some nice memories.,1,FILL,country,in Lancaster,city,in England,"I've just returned from a short vacation in Lancaster. I was really shocked. According to locals,",1807.1999999999998,NA,FILL,FILL,FILL,2625.2,1
60,32,87,83,fill,397.1,332.900001,418.6,385.099999,465.700001,I rode,the biggest,rollercoaster,"in Malaga,",so I really enjoyed it.,1,FILL,city,in Spain,country,in Malaga,"I've just returned from a lovely two-week stay in Spain. I was really shocked. According to locals,",1957.5,NA,FILL,FILL,FILL,1299,1
60,32,88,113,fill,1516,382.29999999999995,420.4,432.2,516.599999,I got to explore,the most convoluted,caves,"in Spain,",so it was a lovely time.,1,FILL,country,in Tenerife,city,in Spain,"I've just returned from a lovely two-week stay in Tenerife. I was really shocked. Allegedly,",6313.599999,NA,FILL,FILL,FILL,1468.9,1
