Participant,Age,TrialN,StimID,StimType,C1.RT,C2.RT,C3.RT,C4.RT,SPILL.RT,CHUNK1,CHUNK2,CHUNK3,CHUNK4,SPILL,CompAcc,ExceptiveType,MAXRestrType,MAXRestr,MENRestrType,MENRestr,Context,ContextRT,LOOK_SEEM,Condition,ExceptivePosition,EXCEPTIVE,CompRT,has_comp
11,NA,50,117,fill,465.4,452,437.90000000000003,451.90000000000003,468.4,I went to a gig by,the most famous,band,"in Ireland,",so I made some nice memories.,1,FILL,country,in Galway,city,in Ireland,"I got home yesterday from a week-long trip in Galway. You won't believe it! Allegedly,",1775.5,NA,FILL,FILL,FILL,1164.1,1
11,NA,51,38,exp,351.5,230.1,121.5,360.3,329.40000000000003,Every,pub,except those in Perth,"seemed cosy,",so I had some deciding to do.,1,MEN,vlog,in the vlog,city,in Perth,I was watching a vlog for inspiration for cosy pubs to try out in Perth and other cities.,2565,seemed,PRE-MEN,PRE,except those in Perth,1335.5,1
11,NA,52,8,exp,354.6,381.1,369.2,339.3,428.3,Every,hotel,except those in the vlog,"seemed luxurious,",so I didn't know what to do.,1,MAX,vlog,in the vlog,city,in Rome,I was watching a vlog for inspiration for luxurious hotels to try out in Rome and other cities.,2282.1,seemed,PRE-MAX,PRE,except those in the vlog,1092.8,1
11,NA,53,81,fill,336,297.59999999999997,321.79999999999995,347,482.4,I visited,the most ancient,temple,"in Bangkok,",so it was a lovely time.,1,FILL,city,in Thailand,country,in Bangkok,"I got home yesterday from a well-earned break in Thailand. You won't believe it! Allegedly,",2996,NA,FILL,FILL,FILL,1267.2,1
11,NA,54,66,fill,327.2,300.9,304.59999999999997,367,444,I got to see,the greenest,park,"in Brussels,",so I made some nice memories.,1,FILL,city,in Belgium,country,in Brussels,"I got home yesterday from a well-earned break in Belgium. You won't believe it! Apparently,",1530.7,NA,FILL,FILL,FILL,1044,1
11,NA,55,12,exp,315.3,249.29999999999998,322.40000000000003,335.7,367.09999999999997,Every,B&B,except those on the website,"seemed cheap,",so I needed to do more research.,1,MAX,website,on the website,city,in Cardiff,I was on a website trying to find cheap B&Bs to stay at in Cardiff and other cities.,2326.5,seemed,PRE-MAX,PRE,except those on the website,1182.9,1
11,NA,56,110,fill,362.70000000000005,342.8,362.20000000000005,348.7,429.9,I got to see,the most romantic,sunsets,"in Colombia,",so it was a lovely time.,1,FILL,country,in Cartagena,city,in Colombia,"I've just returned from a short vacation in Cartagena. I was really shocked. Apparently,",1561,NA,FILL,FILL,FILL,1173.7,1
11,NA,57,46,exp,16,1334.3,302.70000000000005,306.3,331.3,Every,theatre,except those in Berlin,"seemed historic,",so I had some deciding to do.,1,MEN,brochure,in the brochure,city,in Berlin,I was flicking through a holiday brochure to find historic theatres to visit in Berlin and other cities.,1660.1,seemed,PRE-MEN,PRE,except those in Berlin,1349.8000000000002,1
11,NA,58,15,exp,352.6,289.8,296.8,310.3,358.8,Every,town,looked pretty,"except those in Peru,",so I had some deciding to do.,1,MEN,blog,in the blog,country,in Peru,I was reading a blog to get some ideas for pretty towns to explore in Peru and other countries.,2762.7999999999997,looked,PST-MEN,PST,except those in Peru,1208.6,1
11,NA,59,29,exp,307.5,276.3,223.70000000000002,299.3,338.3,Every,shop,looked trendy,"except those on the app,",so I didn't know what to do.,1,MAX,app,on the app,country,in Hungary,I was on a travel app researching trendy shops to enjoy in Hungary and other countries.,1983.9,looked,PST-MAX,PST,except those on the app,1090,1
11,NA,60,27,exp,326.7,209.5,140.2,164.6,333.5,Every,cabin,looked peaceful,"except those in Poland,",so I needed to do more research.,1,MEN,website,on the website,country,in Poland,I was on a website trying to find peaceful cabins to stay at in Poland and other countries.,1409.7,looked,PST-MEN,PST,except those in Poland,1038.3,1
11,NA,61,59,exp,316.40000000000003,265.1,199.2,307.3,394.7,Every,trek,looked challenging,"except those in Indonesia,",so I had some deciding to do.,1,MEN,app,on the app,country,in Indonesia,I was on a travel app researching challenging treks to enjoy in Indonesia and other countries.,2787.5,looked,PST-MEN,PST,except those in Indonesia,935.2,1
11,NA,62,65,fill,463.4,365,443.40000000000003,394.9,495.3,I'd booked in at,the oldest,B&B,"in York,",so it was a lovely time.,1,FILL,city,in England,country,in York,"I've just returned from a short vacation in England. I was really shocked. Allegedly,",1168.8,NA,FILL,FILL,FILL,966.7,1
11,NA,63,2,exp,164.8,130.89999999999998,370.90000000000003,299,783,Every,hostel,except those in London,"seemed quirky,",so I had some deciding to do.,1,MEN,website,on the website,city,in London,I was on a website trying to find quirky hostels to stay at in London and other cities.,2492.5,seemed,PRE-MEN,PRE,except those in London,1600.1000000000001,1
11,NA,64,109,fill,342,261.5,203.2,415.8,398,I went on,the most scenic,boat trip,"in Greece,",so I'm glad I went.,1,FILL,country,in Corfu,city,in Greece,"I'm just back from a great holiday in Corfu. I'm really pleased! Allegedly,",2381.8,NA,FILL,FILL,FILL,1411.3,1
11,NA,65,32,exp,280.4,235.2,172.1,318.09999999999997,348.5,Every,apartment,except those on the website,"seemed wonderful,",so I needed to do more research.,1,MAX,website,on the website,city,in Madrid,I was on a website trying to find wonderful apartments to stay at in Madrid and other cities.,1609.9,seemed,PRE-MAX,PRE,except those on the website,1171.6,1
11,NA,66,111,fill,259.79999999999995,186.70000000000002,414.7,343.3,459.6,I got to experience,the most vibrant,nightlife,"in Thailand,",so I made some nice memories.,1,FILL,country,in Phuket,city,in Thailand,"I got home yesterday from a well-earned break in Phuket. You won't believe it! According to locals,",1540.7,NA,FILL,FILL,FILL,1438.7,1
11,NA,67,31,exp,564,166.3,163.5,137,386.2,Every,bridge,looked amazing,"except those in Argentina,",so I didn't know what to do.,1,MEN,brochure,in the brochure,country,in Argentina,I was flicking through a holiday brochure to find amazing bridges to visit in Argentina and other countries.,1560.8999999999999,looked,PST-MEN,PST,except those in Argentina,1116.3000000000002,1
11,NA,68,37,exp,206.6,269.3,233.5,295.4,419.8,Every,villa,looked stunning,"except those on the website,",so I needed to do more research.,1,MAX,website,on the website,country,in Egypt,I was on a website trying to find stunning villas to stay at in Egypt and other countries.,1635.2,looked,PST-MAX,PST,except those on the website,1232,1
11,NA,69,9,exp,258.6,203,146.8,147.7,346.1,Every,view,looked breathtaking,"except those on the app,",so I needed to do more research.,1,MAX,app,on the app,country,in Japan,I was on a travel app researching breathtaking views to enjoy in Japan and other countries.,1550.4,looked,PST-MAX,PST,except those on the app,1061.3,1
11,NA,70,98,fill,275.4,234.2,299.09999999999997,261.90000000000003,366.59999999999997,I was staying near,the oldest,university,"in The Netherlands,",so I made some nice memories.,1,FILL,country,in Utrecht,city,in The Netherlands,"I've just returned from a lovely two-week stay in Utrecht. I was really shocked. Apparently,",1108.7,NA,FILL,FILL,FILL,3353.6000000000004,1
11,NA,71,43,exp,309.5,245,218,290,667.6999999999999,Every,delicacy,looked tasty,"except those in Venezuela,",so I had some deciding to do.,1,MEN,vlog,in the vlog,country,in Venezuela,I was watching a vlog for inspiration for tasty delicacies to try out in Venezuela and other countries.,3850.2999999999997,looked,PST-MEN,PST,except those in Venezuela,1521.6000000000001,1
11,NA,72,25,exp,402.2,253.4,249.1,333.9,640.2,Every,river,looked soothing,"except those in the blog,",so I had some deciding to do.,1,MAX,blog,in the blog,country,in Norway,I was reading a blog to get some ideas for soothing rivers to explore in Norway and other countries.,3277.8999999999996,looked,PST-MAX,PST,except those in the blog,931.8,1
